,,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,
Date,Time,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-04-01,21:21:17.665,1201522764,100.00,-1,-1,1201522764,0.00,2,1201522764,1201522821,100.00,-1,-1,1201522821,0.00,2,1201522821,1201522869,100.00,-1,-1,1201522869,0.00,2,1201522869,1201522917,100.00,-1,-1,1201522917,0.00,2,1201522917,1201522971,100.00,-1,-1,1201522971,0.00,2,1201522971,1201523037,100.00,-1,-1,1201523037,0.00,2,1201523037,1201523094,100.00,-1,-1,1201523094,0.00,2,1201523094,1201523148,100.00,-1,-1,1201523148,0.00,2,1201523148,1101609850,0.00,0.00,0.00,1504344,91.82,91.82,62,101339,6.19,6.19,
2026-04-01,21:21:18.665,1197685986,100.00,-1,-1,1197685986,0.00,2,1197685986,1197685989,100.00,-1,-1,1197685989,0.00,2,1197685989,1197685992,100.00,-1,-1,1197685992,0.00,2,1197685992,1197685995,100.00,-1,-1,1197685995,0.00,2,1197685995,1197686001,100.00,-1,-1,1197686001,0.00,2,1197686001,1197686001,100.00,-1,-1,1197686001,0.00,2,1197686001,1197686001,100.00,-1,-1,1197686001,0.00,2,1197686001,1197686007,100.00,-1,-1,1197686007,0.00,2,1197686007,1097987187,0.00,0.00,0.00,1499058,91.50,91.50,62,102154,6.23,6.23,
2026-04-01,21:21:19.664,1196381043,100.00,-1,-1,1196381043,0.00,2,1196381043,1196381049,100.00,-1,-1,1196381049,0.00,2,1196381049,1196381061,100.00,-1,-1,1196381061,0.00,2,1196381061,1196381061,100.00,-1,-1,1196381061,0.00,2,1196381061,1196381061,100.00,-1,-1,1196381061,0.00,2,1196381061,1196381064,100.00,-1,-1,1196381064,0.00,2,1196381064,1196381064,100.00,-1,-1,1196381064,0.00,2,1196381064,1196381067,100.00,-1,-1,1196381067,0.00,2,1196381067,1096790343,0.00,0.00,0.00,1497838,91.42,91.42,62,102200,6.24,6.24,
2026-04-01,21:21:20.665,1197583260,100.00,-1,-1,1197583260,0.00,2,1197583260,1197583344,100.00,-1,-1,1197583344,0.00,2,1197583344,1197583341,100.00,-1,-1,1197583341,0.00,2,1197583341,1197583347,100.00,-1,-1,1197583347,0.00,2,1197583347,1197583344,100.00,-1,-1,1197583344,0.00,2,1197583344,1197583344,100.00,-1,-1,1197583344,0.00,2,1197583344,1197583347,100.00,-1,-1,1197583347,0.00,2,1197583347,1197583302,100.00,-1,-1,1197583302,0.00,2,1197583302,1097904417,0.00,0.00,0.00,1503144,91.74,91.74,62,101582,6.20,6.20,
2026-04-01,21:21:21.665,1197267876,100.00,-1,-1,1197267876,0.00,2,1197267876,1197267888,100.00,-1,-1,1197267888,0.00,2,1197267888,1197267888,100.00,-1,-1,1197267888,0.00,2,1197267888,1197267882,100.00,-1,-1,1197267882,0.00,2,1197267882,1197267906,100.00,-1,-1,1197267906,0.00,2,1197267906,1197267915,100.00,-1,-1,1197267915,0.00,2,1197267915,1197267909,100.00,-1,-1,1197267909,0.00,2,1197267909,1197267909,100.00,-1,-1,1197267909,0.00,2,1197267909,1097597633,0.00,0.00,0.00,1494410,91.21,91.21,62,99218,6.06,6.06,
2026-04-01,21:21:22.665,1197400566,100.00,-1,-1,1197400566,0.00,2,1197400566,1197400572,100.00,-1,-1,1197400572,0.00,2,1197400572,1197400566,100.00,-1,-1,1197400566,0.00,2,1197400566,1197400572,100.00,-1,-1,1197400572,0.00,2,1197400572,1197400569,100.00,-1,-1,1197400569,0.00,2,1197400569,1197400569,100.00,-1,-1,1197400569,0.00,2,1197400569,1197400569,100.00,-1,-1,1197400569,0.00,2,1197400569,1197400572,100.00,-1,-1,1197400572,0.00,2,1197400572,1097714882,0.00,0.00,0.00,1497978,91.43,91.43,61,100680,6.15,6.15,
2026-04-01,21:21:23.665,1197432870,100.00,-1,-1,1197432870,0.00,2,1197432870,1197432870,100.00,-1,-1,1197432870,0.00,2,1197432870,1197432867,100.00,-1,-1,1197432867,0.00,2,1197432867,1197432864,100.00,-1,-1,1197432864,0.00,2,1197432864,1197432876,100.00,-1,-1,1197432876,0.00,2,1197432876,1197432882,100.00,-1,-1,1197432882,0.00,2,1197432882,1197432882,100.00,-1,-1,1197432882,0.00,2,1197432882,1197432885,100.00,-1,-1,1197432885,0.00,2,1197432885,1097747495,0.00,0.00,0.00,1503353,91.76,91.67,61,100935,6.16,6.15,
2026-04-01,21:21:24.665,1197374160,100.00,-1,-1,1197374160,0.00,2,1197374160,1197374163,100.00,-1,-1,1197374163,0.00,2,1197374163,1197374163,100.00,-1,-1,1197374163,0.00,2,1197374163,1197374163,100.00,-1,-1,1197374163,0.00,2,1197374163,1197374172,100.00,-1,-1,1197374172,0.00,2,1197374172,1197374175,100.00,-1,-1,1197374175,0.00,2,1197374175,1197374172,100.00,-1,-1,1197374172,0.00,2,1197374172,1197374172,100.00,-1,-1,1197374172,0.00,2,1197374172,1097693234,0.00,0.00,0.00,1500406,91.58,91.58,61,98899,6.04,6.04,
2026-04-01,21:21:25.666,1197322383,100.00,-1,-1,1197322383,0.00,2,1197322383,1197322386,100.00,-1,-1,1197322386,0.00,2,1197322386,1197322389,100.00,-1,-1,1197322389,0.00,2,1197322389,1197322389,100.00,-1,-1,1197322389,0.00,2,1197322389,1197322389,100.00,-1,-1,1197322389,0.00,2,1197322389,1197322407,100.00,-1,-1,1197322407,0.00,2,1197322407,1197322416,100.00,-1,-1,1197322416,0.00,2,1197322416,1197322431,100.00,-1,-1,1197322431,0.00,2,1197322431,1097645590,0.00,0.00,0.00,1504598,91.83,91.83,61,97273,5.94,5.94,
2026-04-01,21:21:26.666,1197362808,100.00,-1,-1,1197362808,0.00,2,1197362808,1197362817,100.00,-1,-1,1197362817,0.00,2,1197362817,1197362814,100.00,-1,-1,1197362814,0.00,2,1197362814,1197362817,100.00,-1,-1,1197362817,0.00,2,1197362817,1197362814,100.00,-1,-1,1197362814,0.00,2,1197362814,1197362784,100.00,-1,-1,1197362784,0.00,2,1197362784,1197362818,100.00,-1,-1,1197362818,0.00,2,1197362818,1197362820,100.00,-1,-1,1197362820,0.00,2,1197362820,1097697378,0.00,0.00,0.00,1498710,91.47,91.47,61,97529,5.95,5.95,
2026-04-01,21:21:27.666,1197332265,100.00,-1,-1,1197332265,0.00,2,1197332265,1197332268,100.00,-1,-1,1197332268,0.00,2,1197332268,1197332262,100.00,-1,-1,1197332262,0.00,2,1197332262,1197332268,100.00,-1,-1,1197332268,0.00,2,1197332268,1197332271,100.00,-1,-1,1197332271,0.00,2,1197332271,1197332271,100.00,-1,-1,1197332271,0.00,2,1197332271,1197332268,100.00,-1,-1,1197332268,0.00,2,1197332268,1197332268,100.00,-1,-1,1197332268,0.00,2,1197332268,1097655306,0.00,0.00,0.00,1502891,91.73,91.73,60,99064,6.05,6.05,
2026-04-01,21:21:28.666,1197319338,100.00,-1,-1,1197319338,0.00,2,1197319338,1197319335,100.00,-1,-1,1197319335,0.00,2,1197319335,1197319338,100.00,-1,-1,1197319338,0.00,2,1197319338,1197319341,100.00,-1,-1,1197319341,0.00,2,1197319341,1197319347,100.00,-1,-1,1197319347,0.00,2,1197319347,1197319338,100.00,-1,-1,1197319338,0.00,2,1197319338,1197319338,100.00,-1,-1,1197319338,0.00,2,1197319338,1197319335,100.00,-1,-1,1197319335,0.00,2,1197319335,1097633182,0.00,0.00,0.00,1504392,91.82,91.82,60,99279,6.06,6.06,
