,,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,
Date,Time,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-04-01,21:22:17.785,1209902298,100.00,-1,-1,1209902298,0.00,2,1209902298,1209902334,100.00,-1,-1,1209902334,0.00,2,1209902334,1209902370,100.00,-1,-1,1209902370,0.00,2,1209902370,1209902415,100.00,-1,-1,1209902415,0.00,2,1209902415,1209902463,100.00,-1,-1,1209902463,0.00,2,1209902463,1209902496,100.00,-1,-1,1209902496,0.00,2,1209902496,1209902532,100.00,-1,-1,1209902532,0.00,2,1209902532,1209902568,100.00,-1,-1,1209902568,0.00,2,1209902568,1109244353,0.00,0.00,0.00,1527600,93.24,93.24,55,104967,6.41,6.41,
2026-04-01,21:22:18.784,1196567709,100.00,-1,-1,1196567709,0.00,2,1196567709,1196567697,100.00,-1,-1,1196567697,0.00,2,1196567697,1196567676,100.00,-1,-1,1196567676,0.00,2,1196567676,1196567658,100.00,-1,-1,1196567658,0.00,2,1196567658,1196567634,100.00,-1,-1,1196567634,0.00,2,1196567634,1196567607,100.00,-1,-1,1196567607,0.00,2,1196567607,1196567589,100.00,-1,-1,1196567589,0.00,2,1196567589,1196567568,100.00,-1,-1,1196567568,0.00,2,1196567568,1096880081,0.00,0.00,0.00,1509056,92.11,92.11,54,102853,6.28,6.28,
2026-04-01,21:22:19.787,1198369185,100.00,-1,-1,1198369185,0.00,2,1198369185,1198369260,100.00,-1,-1,1198369260,0.00,2,1198369260,1198369299,100.00,-1,-1,1198369299,0.00,2,1198369299,1198369341,100.00,-1,-1,1198369341,0.00,2,1198369341,1198369386,100.00,-1,-1,1198369386,0.00,2,1198369386,1198369425,100.00,-1,-1,1198369425,0.00,2,1198369425,1198369461,100.00,-1,-1,1198369461,0.00,2,1198369461,1198369506,100.00,-1,-1,1198369506,0.00,2,1198369506,1098736730,0.00,0.00,0.00,1513054,92.35,92.26,55,102068,6.23,6.22,
2026-04-01,21:22:20.785,1197677490,100.00,-1,-1,1197677490,0.00,2,1197677490,1197677487,100.00,-1,-1,1197677487,0.00,2,1197677487,1197677460,100.00,-1,-1,1197677460,0.00,2,1197677460,1197677463,100.00,-1,-1,1197677463,0.00,2,1197677463,1197677469,100.00,-1,-1,1197677469,0.00,2,1197677469,1197677490,100.00,-1,-1,1197677490,0.00,2,1197677490,1197677523,100.00,-1,-1,1197677523,0.00,2,1197677523,1197677535,100.00,-1,-1,1197677535,0.00,2,1197677535,1097966430,0.00,0.00,0.00,1506571,91.95,91.95,55,102528,6.26,6.26,
2026-04-01,21:22:21.786,1197406449,100.00,-1,-1,1197406449,0.00,2,1197406449,1197406458,100.00,-1,-1,1197406458,0.00,2,1197406458,1197406455,100.00,-1,-1,1197406455,0.00,2,1197406455,1197406455,100.00,-1,-1,1197406455,0.00,2,1197406455,1197406455,100.00,-1,-1,1197406455,0.00,2,1197406455,1197406461,100.00,-1,-1,1197406461,0.00,2,1197406461,1197406461,100.00,-1,-1,1197406461,0.00,2,1197406461,1197406464,100.00,-1,-1,1197406464,0.00,2,1197406464,1097726789,0.00,0.00,0.00,1506637,91.96,91.96,55,101531,6.20,6.20,
2026-04-01,21:22:22.785,1196359323,100.00,-1,-1,1196359323,0.00,2,1196359323,1196359329,100.00,-1,-1,1196359329,0.00,2,1196359329,1196359329,100.00,-1,-1,1196359329,0.00,2,1196359329,1196359332,100.00,-1,-1,1196359332,0.00,2,1196359332,1196359335,100.00,-1,-1,1196359335,0.00,2,1196359335,1196359344,100.00,-1,-1,1196359344,0.00,2,1196359344,1196359320,100.00,-1,-1,1196359320,0.00,2,1196359320,1196359317,100.00,-1,-1,1196359317,0.00,2,1196359317,1096779684,0.00,0.00,0.00,1515209,92.48,92.48,55,100551,6.14,6.14,
2026-04-01,21:22:23.786,1198100163,100.00,-1,-1,1198100163,0.00,2,1198100163,1198100355,100.00,-1,-1,1198100355,0.00,2,1198100355,1198100358,100.00,-1,-1,1198100358,0.00,2,1198100358,1198100352,100.00,-1,-1,1198100352,0.00,2,1198100352,1198100352,100.00,-1,-1,1198100352,0.00,2,1198100352,1198100355,100.00,-1,-1,1198100355,0.00,2,1198100355,1198100361,100.00,-1,-1,1198100361,0.00,2,1198100361,1198100364,100.00,-1,-1,1198100364,0.00,2,1198100364,1098370669,0.00,0.00,0.00,1514150,92.42,92.42,55,99797,6.09,6.09,
2026-04-01,21:22:24.786,1196271339,100.00,-1,-1,1196271339,0.00,2,1196271339,1196271351,100.00,-1,-1,1196271351,0.00,2,1196271351,1196271351,100.00,-1,-1,1196271351,0.00,2,1196271351,1196271348,100.00,-1,-1,1196271348,0.00,2,1196271348,1196271348,100.00,-1,-1,1196271348,0.00,2,1196271348,1196271339,100.00,-1,-1,1196271339,0.00,2,1196271339,1196271329,100.00,-1,-1,1196271329,0.00,2,1196271329,1196271330,100.00,-1,-1,1196271330,0.00,2,1196271330,1096674675,0.00,0.00,0.00,1512073,92.29,92.29,54,98267,6.00,6.00,
2026-04-01,21:22:25.785,1197622188,100.00,-1,-1,1197622188,0.00,2,1197622188,1197622182,100.00,-1,-1,1197622182,0.00,2,1197622182,1197622209,100.00,-1,-1,1197622209,0.00,2,1197622209,1197622215,100.00,-1,-1,1197622215,0.00,2,1197622215,1197622215,100.00,-1,-1,1197622215,0.00,2,1197622215,1197622227,100.00,-1,-1,1197622227,0.00,2,1197622227,1197622224,100.00,-1,-1,1197622224,0.00,2,1197622224,1197622242,100.00,-1,-1,1197622242,0.00,2,1197622242,1097912269,0.00,0.00,0.00,1516571,92.56,92.56,54,100749,6.15,6.15,
