,,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,
Date,Time,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-04-01,21:24:17.992,1201586745,100.00,-1,-1,1201586745,0.00,2,1201586745,1201586841,100.00,-1,-1,1201586841,0.00,2,1201586841,1201586889,100.00,-1,-1,1201586889,0.00,2,1201586889,1201586943,100.00,-1,-1,1201586943,0.00,2,1201586943,1201587000,100.00,-1,-1,1201587000,0.00,2,1201587000,1201587057,100.00,-1,-1,1201587057,0.00,2,1201587057,1201587114,100.00,-1,-1,1201587114,0.00,2,1201587114,1201587165,100.00,-1,-1,1201587165,0.00,2,1201587165,1101679889,0.00,0.00,0.00,1523205,92.97,92.97,50,94609,5.77,5.77,
2026-04-01,21:24:18.993,1197712017,100.00,-1,-1,1197712017,0.00,2,1197712017,1197712017,100.00,-1,-1,1197712017,0.00,2,1197712017,1197712014,100.00,-1,-1,1197712014,0.00,2,1197712014,1197712014,100.00,-1,-1,1197712014,0.00,2,1197712014,1197712023,100.00,-1,-1,1197712023,0.00,2,1197712023,1197712020,100.00,-1,-1,1197712020,0.00,2,1197712020,1197712020,100.00,-1,-1,1197712020,0.00,2,1197712020,1197712023,100.00,-1,-1,1197712023,0.00,2,1197712023,1097995278,0.00,0.00,0.00,1508554,92.07,92.07,50,93101,5.68,5.68,
2026-04-01,21:24:19.993,1196804355,100.00,-1,-1,1196804355,0.00,2,1196804355,1196804361,100.00,-1,-1,1196804361,0.00,2,1196804361,1196804367,100.00,-1,-1,1196804367,0.00,2,1196804367,1196804364,100.00,-1,-1,1196804364,0.00,2,1196804364,1196804367,100.00,-1,-1,1196804367,0.00,2,1196804367,1196804367,100.00,-1,-1,1196804367,0.00,2,1196804367,1196804370,100.00,-1,-1,1196804370,0.00,2,1196804370,1196804367,100.00,-1,-1,1196804367,0.00,2,1196804367,1097176481,0.00,0.00,0.00,1504766,91.84,91.84,50,92502,5.65,5.65,
2026-04-01,21:24:20.992,1196469252,100.00,-1,-1,1196469252,0.00,2,1196469252,1196469264,100.00,-1,-1,1196469264,0.00,2,1196469264,1196469264,100.00,-1,-1,1196469264,0.00,2,1196469264,1196469267,100.00,-1,-1,1196469267,0.00,2,1196469267,1196469267,100.00,-1,-1,1196469267,0.00,2,1196469267,1196469267,100.00,-1,-1,1196469267,0.00,2,1196469267,1196469279,100.00,-1,-1,1196469279,0.00,2,1196469279,1196469285,100.00,-1,-1,1196469285,0.00,2,1196469285,1096885128,0.00,0.00,0.00,1510616,92.20,92.20,50,94713,5.78,5.78,
2026-04-01,21:24:21.992,1197282540,100.00,-1,-1,1197282540,0.00,2,1197282540,1197282543,100.00,-1,-1,1197282543,0.00,2,1197282543,1197282555,100.00,-1,-1,1197282555,0.00,2,1197282555,1197282555,100.00,-1,-1,1197282555,0.00,2,1197282555,1197282558,100.00,-1,-1,1197282558,0.00,2,1197282558,1197282555,100.00,-1,-1,1197282555,0.00,2,1197282555,1197282555,100.00,-1,-1,1197282555,0.00,2,1197282555,1197282567,100.00,-1,-1,1197282567,0.00,2,1197282567,1097650092,0.00,0.00,0.00,1510939,92.22,92.22,50,93594,5.71,5.71,
2026-04-01,21:24:22.992,1197745806,100.00,-1,-1,1197745806,0.00,2,1197745806,1197745806,100.00,-1,-1,1197745806,0.00,2,1197745806,1197745818,100.00,-1,-1,1197745818,0.00,2,1197745818,1197745815,100.00,-1,-1,1197745815,0.00,2,1197745815,1197745809,100.00,-1,-1,1197745809,0.00,2,1197745809,1197745809,100.00,-1,-1,1197745809,0.00,2,1197745809,1197745815,100.00,-1,-1,1197745815,0.00,2,1197745815,1197745815,100.00,-1,-1,1197745815,0.00,2,1197745815,1097991677,0.00,0.00,0.00,1517334,92.61,92.61,49,95110,5.81,5.81,
2026-04-01,21:24:23.993,1197435648,100.00,-1,-1,1197435648,0.00,2,1197435648,1197435648,100.00,-1,-1,1197435648,0.00,2,1197435648,1197435651,100.00,-1,-1,1197435651,0.00,2,1197435651,1197435657,100.00,-1,-1,1197435657,0.00,2,1197435657,1197435660,100.00,-1,-1,1197435660,0.00,2,1197435660,1197435666,100.00,-1,-1,1197435666,0.00,2,1197435666,1197435663,100.00,-1,-1,1197435663,0.00,2,1197435663,1197435660,100.00,-1,-1,1197435660,0.00,2,1197435660,1097751400,0.00,0.00,0.00,1515797,92.52,92.42,50,97041,5.92,5.92,
2026-04-01,21:24:24.992,1196141148,100.00,-1,-1,1196141148,0.00,2,1196141148,1196141145,100.00,-1,-1,1196141145,0.00,2,1196141145,1196141142,100.00,-1,-1,1196141142,0.00,2,1196141142,1196141148,100.00,-1,-1,1196141148,0.00,2,1196141148,1196141148,100.00,-1,-1,1196141148,0.00,2,1196141148,1196141130,100.00,-1,-1,1196141130,0.00,2,1196141130,1196141173,100.00,-1,-1,1196141173,0.00,2,1196141173,1196141148,100.00,-1,-1,1196141148,0.00,2,1196141148,1096589430,0.00,0.00,0.00,1508004,92.04,92.13,50,96887,5.91,5.92,
2026-04-01,21:24:25.992,1197308178,100.00,-1,-1,1197308178,0.00,2,1197308178,1197308145,100.00,-1,-1,1197308145,0.00,2,1197308145,1197308109,100.00,-1,-1,1197308109,0.00,2,1197308109,1197308073,100.00,-1,-1,1197308073,0.00,2,1197308073,1197308046,100.00,-1,-1,1197308046,0.00,2,1197308046,1197308010,100.00,-1,-1,1197308010,0.00,2,1197308010,1197307974,100.00,-1,-1,1197307974,0.00,2,1197307974,1197307938,100.00,-1,-1,1197307938,0.00,2,1197307938,1097514149,0.00,0.00,0.00,1512954,92.34,92.34,50,96203,5.87,5.87,
