run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	1704.24	27267.83	18.77	21.11	5.67	46.04	NA	0.00
2	1699.76	27196.13	18.82	21.89	11.32	29.00	NA	0.00
3	1698.81	27181.04	18.83	23.52	9.84	28.57	NA	0.00
4	1697.44	27159.10	18.85	23.52	9.28	31.95	NA	0.00
5	1695.81	27132.97	18.87	20.00	11.27	30.93	NA	0.00
6	1695.16	27122.56	18.87	26.68	9.30	36.03	NA	0.00
7	1693.79	27100.69	18.89	21.89	11.92	27.76	NA	0.00
8	1691.35	27061.62	18.92	25.74	10.26	31.60	NA	0.00
9	1701.43	27222.83	18.80	23.95	11.47	28.88	NA	0.00
10	1693.63	27098.05	18.89	24.38	7.08	29.88	NA	0.00
