run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	1701.36	27221.79	18.80	25.74	9.01	31.83	NA	0.00
2	1699.14	27186.29	18.83	20.37	10.93	24.60	NA	0.00
3	1704.83	27277.27	18.77	27.66	6.35	34.72	NA	0.00
4	1704.18	27266.91	18.77	23.95	11.54	27.58	NA	0.00
5	1705.83	27293.24	18.76	21.89	9.96	29.25	NA	0.00
6	1696.70	27147.20	18.86	20.37	7.53	25.63	NA	0.00
7	1693.78	27100.41	18.89	23.10	7.85	29.26	NA	0.00
8	1693.96	27103.44	18.89	24.38	9.81	29.49	NA	0.00
9	1693.77	27100.29	18.89	26.20	10.54	32.65	NA	0.00
10	1700.86	27213.72	18.81	24.38	9.06	32.93	NA	0.00
