run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	1698.48	27175.72	18.84	23.52	10.26	33.07	NA	0.00
2	1696.26	27140.15	18.86	26.20	7.42	35.13	NA	0.00
3	1699.10	27185.65	18.83	23.52	11.45	30.15	NA	0.00
4	1706.00	27295.92	18.75	20.00	7.63	29.81	NA	0.00
5	1691.36	27061.71	18.92	23.10	11.35	31.91	NA	0.00
6	1702.17	27234.70	18.80	23.95	11.78	29.10	NA	0.00
7	1700.43	27206.86	18.81	25.74	9.75	30.40	NA	0.00
8	1694.00	27103.95	18.89	21.11	9.19	30.67	NA	0.00
9	1694.89	27118.20	18.88	23.95	12.26	31.28	NA	0.00
10	1702.90	27246.47	18.79	22.28	10.37	30.77	NA	0.00
