run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	1694.32	27109.15	18.88	26.20	9.86	32.16	NA	0.00
2	1703.30	27252.83	18.78	23.95	9.35	29.43	NA	0.00
3	1691.60	27065.58	18.91	24.38	7.55	31.30	NA	0.00
4	1706.89	27310.22	18.74	23.95	11.53	29.69	NA	0.00
5	1696.38	27142.08	18.86	26.20	7.85	31.80	NA	0.00
6	1698.92	27182.73	18.83	22.69	10.49	27.10	NA	0.00
7	1692.18	27074.92	18.91	24.38	10.87	31.85	NA	0.00
8	1702.26	27236.19	18.79	23.10	10.98	28.19	NA	0.00
9	1709.40	27350.39	18.72	26.20	7.94	36.91	NA	0.00
10	1696.38	27142.07	18.86	21.89	9.75	31.27	NA	0.00
