,,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,
Date,Time,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-04-01,21:21:14.505,667204527,0.01,40660,667204527,667204527,0.01,40556,667204527,667205672,0.01,39156,667205672,667205672,0.01,39087,667205672,667206191,0.01,38321,667206191,667206191,0.01,38208,667206191,667206708,0.01,37488,667206708,667206708,0.01,37347,667206708,800632444,94.28,94.28,0.00,1617508,24.68,24.68,59,479550,7.32,7.32,667149363,0.01,37664,667149363,667149363,0.01,37632,667149363,667149832,0.01,37128,667149832,667149832,0.01,37141,667149832,667150234,0.01,36773,667150234,667150234,0.01,36785,667150234,667150558,0.01,36618,667150558,667150558,0.01,36674,667150558,800607979,99.89,99.89,0.00,1531710,23.37,23.37,55,572955,8.74,8.74,
2026-04-01,21:21:15.505,666651597,0.01,37419,666651597,666651597,0.01,37508,666651597,666652255,0.01,36764,666652255,666652255,0.01,36716,666652255,666652492,0.01,36427,666652492,666652492,0.01,36376,666652492,666652711,0.01,36035,666652711,666652711,0.01,35926,666652711,800027599,94.42,94.42,0.00,1610502,24.57,24.57,59,483092,7.37,7.37,666651248,0.01,37629,666651248,666651248,0.01,37637,666651248,666651771,0.01,37001,666651771,666651771,0.01,36963,666651771,666652087,0.01,36488,666652087,666652087,0.01,36344,666652087,666652473,0.01,35706,666652473,666652473,0.01,35620,666652473,800016857,99.98,99.98,0.00,1528198,23.32,23.32,56,575504,8.78,8.78,
2026-04-01,21:21:16.505,666519471,0.01,37761,666519471,666519471,0.01,37698,666519471,666504224,0.01,52848,666504224,666504224,0.01,52839,666504224,666504773,0.01,52313,666504773,666504773,0.01,52326,666504773,666505137,0.01,51954,666505137,666505137,0.01,51974,666505137,799848312,94.55,94.55,0.00,1611514,24.59,24.59,58,478493,7.30,7.30,666504151,0.01,36460,666504151,666504151,0.01,36422,666504151,666504545,0.01,36152,666504545,666504545,0.01,36223,666504545,666505006,0.01,35937,666505006,666505006,0.01,48699,666505006,666505263,0.01,48468,666505263,666505263,0.01,48484,666505263,799866425,99.96,99.96,0.00,1528258,23.32,23.32,55,577016,8.80,8.80,
2026-04-01,21:21:17.505,666520800,0.01,37586,666520800,666520800,0.01,37560,666520800,666521733,0.01,36724,666521733,666521733,0.01,36736,666521733,666522235,0.01,36217,666522235,666522235,0.01,36200,666522235,666522402,0.01,36013,666522402,666522402,0.01,36014,666522402,799868764,94.36,94.36,0.00,1610052,24.57,24.57,59,476686,7.27,7.27,666506733,0.01,49974,666506733,666506733,0.01,50031,666506733,666507114,0.01,49564,666507114,666507114,0.01,49506,666507114,666507519,0.01,48958,666507519,666507519,0.01,36223,666507519,666507915,0.01,35844,666507915,666507915,0.01,35855,666507915,799850515,99.99,99.99,0.00,1528180,23.32,23.32,55,572502,8.74,8.74,
2026-04-01,21:21:18.505,666510453,0.01,37039,666510453,666510453,0.01,37093,666510453,666511294,0.01,36300,666511294,666511294,0.01,36314,666511294,666511579,0.01,36090,666511579,666511579,0.01,36088,666511579,666511829,0.01,35908,666511829,666511829,0.01,35904,666511829,799857547,94.10,94.10,0.00,1620904,24.73,24.73,59,478803,7.31,7.31,666511783,0.01,36419,666511783,666511783,0.01,36317,666511783,666512020,0.01,36141,666512020,666512020,0.01,36112,666512020,666512258,0.01,36001,666512258,666512258,0.01,35973,666512258,666512526,0.01,35675,666512526,666512526,0.01,35640,666512526,799858772,99.86,99.86,0.00,1530194,23.35,23.35,55,570304,8.70,8.70,
2026-04-01,21:21:19.506,667188951,0.01,37261,667188951,667188951,0.01,37162,667188951,667189648,0.01,36311,667189648,667189648,0.01,36637,667189648,667190046,0.01,36347,667190046,667190046,0.01,36341,667190046,667190280,0.01,36044,667190280,667190280,0.01,36045,667190280,800670974,94.49,94.49,0.00,1613233,24.62,24.59,59,482578,7.36,7.36,667188345,0.01,36236,667188345,667188345,0.01,36273,667188345,667188706,0.01,35841,667188706,667188706,0.01,35871,667188706,667188920,0.01,35532,667188920,667188920,0.01,35557,667188920,667189109,0.01,35398,667189109,667189109,0.01,35425,667189109,800668457,99.98,99.98,0.00,1529579,23.34,23.32,56,565186,8.62,8.62,
2026-04-01,21:21:20.506,667179284,0.01,38087,667179284,667179284,0.01,38216,667179284,667180128,0.01,37474,667180128,667180128,0.01,37192,667180128,667180576,0.01,36570,667180576,667180576,0.01,36582,667180576,667181134,0.01,36450,667181134,667181134,0.01,36710,667181134,800662431,94.31,94.31,0.00,1618851,24.70,24.70,59,483075,7.37,7.37,667183971,0.01,36801,667183971,667183971,0.01,36803,667183971,667184385,0.01,36423,667184385,667184385,0.01,36431,667184385,667184797,0.01,36029,667184797,667184797,0.01,36020,667184797,667185170,0.01,35636,667185170,667185170,0.01,35640,667185170,800665315,99.95,99.95,0.00,1530673,23.36,23.36,56,565011,8.62,8.62,
2026-04-01,21:21:21.506,666502170,0.01,56487,666502170,666502170,0.01,56383,666502170,666502979,0.01,55590,666502979,666502979,0.01,55419,666502979,666514897,0.01,43463,666514897,666514897,0.01,43467,666514897,666521935,0.01,36017,666521935,666521935,0.01,35767,666521935,799869545,94.38,94.38,0.00,1613937,24.63,24.63,59,480578,7.33,7.33,666520695,0.01,36578,666520695,666520695,0.01,36537,666520695,666520984,0.01,36243,666520984,666520984,0.01,36234,666520984,666521428,0.01,35847,666521428,666521428,0.01,35853,666521428,666521612,0.01,35942,666521612,666521612,0.01,35949,666521612,799867018,99.98,99.98,0.00,1528282,23.32,23.32,55,562366,8.58,8.58,
2026-04-01,21:21:22.506,666496265,0.01,36769,666496265,666496265,0.01,36778,666496265,666496938,0.01,36020,666496938,666496938,0.01,36033,666496938,666497218,0.01,35696,666497218,666497218,0.01,35660,666497218,666497434,0.01,35391,666497434,666497434,0.01,35340,666497434,799836947,94.29,94.29,0.00,1612234,24.60,24.60,59,480073,7.33,7.33,666504349,0.01,36875,666504349,666504349,0.01,36919,666504349,666504765,0.01,36517,666504765,666504765,0.01,36518,666504765,666505006,0.01,36204,666505006,666505006,0.01,36212,666505006,666505235,0.01,35721,666505235,666505235,0.01,35705,666505235,799852319,99.97,99.97,0.00,1528199,23.32,23.32,55,565313,8.63,8.63,
