,,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,
Date,Time,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-04-01,21:22:16.853,667179065,0.01,54920,667179065,667179065,0.01,54680,667179065,667179934,0.01,53466,667179934,667179934,0.01,53395,667179934,667180446,0.01,52712,667180446,667180446,0.01,52672,667180446,667180944,0.01,37117,667180944,667180944,0.01,36924,667180944,800587134,94.38,94.38,0.00,1623763,24.78,24.78,59,479343,7.31,7.31,667111149,0.01,37685,667111149,667111149,0.01,51116,667111149,667111529,0.01,50694,667111529,667111529,0.01,50677,667111529,667111787,0.01,50309,667111787,667111787,0.01,50194,667111787,667111946,0.01,49964,667111946,667111946,0.01,49892,667111946,800607190,99.90,99.90,0.00,1532326,23.38,23.38,56,580676,8.86,8.86,
2026-04-01,21:22:17.853,666650478,0.01,37486,666650478,666650478,0.01,37522,666650478,666651094,0.01,36891,666651094,666651094,0.01,36836,666651094,666651532,0.01,36236,666651532,666651532,0.01,36179,666651532,666651800,0.01,35870,666651800,666651800,0.01,35875,666651800,800026588,94.38,94.38,0.00,1612414,24.60,24.60,58,481672,7.35,7.35,666651313,0.01,50416,666651313,666651313,0.01,36890,666651313,666651660,0.01,36576,666651660,666651660,0.01,36565,666651660,666651934,0.01,36290,666651934,666651934,0.01,36304,666651934,666652034,0.01,36215,666652034,666652034,0.01,36222,666652034,800017859,99.99,99.99,0.00,1528161,23.32,23.32,55,580711,8.86,8.86,
2026-04-01,21:22:18.853,666508806,0.01,37658,666508806,666508806,0.01,37642,666508806,666509583,0.01,36999,666509583,666509583,0.01,37001,666509583,666510133,0.01,36533,666510133,666510133,0.01,36558,666510133,666510485,0.01,36152,666510485,666510485,0.01,36102,666510485,799853473,94.68,94.68,0.00,1612800,24.61,24.61,58,482522,7.36,7.36,666494876,0.01,36649,666494876,666494876,0.01,36662,666494876,666495349,0.01,36047,666495349,666495349,0.01,36000,666495349,666495526,0.01,35724,666495526,666495526,0.01,35643,666495526,666495667,0.01,35402,666495667,666495667,0.01,35339,666495667,799859865,99.97,99.97,0.00,1528246,23.32,23.32,56,585186,8.93,8.93,
2026-04-01,21:22:19.853,666527292,0.01,37074,666527292,666527292,0.01,37098,666527292,666527914,0.01,36330,666527914,666527914,0.01,36320,666527914,666528131,0.01,36118,666528131,666528131,0.01,36078,666528131,666528483,0.01,35845,666528483,666528483,0.01,35865,666528483,799877639,94.72,94.72,0.00,1608473,24.54,24.54,59,481183,7.34,7.34,666529003,0.01,36058,666529003,666529003,0.01,36013,666529003,666529533,0.01,35482,666529533,666529533,0.01,35476,666529533,666529687,0.01,35322,666529687,666529687,0.01,35321,666529687,666529823,0.01,35258,666529823,666529823,0.01,35258,666529823,799856815,99.94,99.94,0.00,1528499,23.32,23.32,56,583176,8.90,8.90,
2026-04-01,21:22:20.853,666504187,0.01,37100,666504187,666504187,0.01,37095,666504187,666504701,0.01,36638,666504701,666504701,0.01,36639,666504701,666505060,0.01,36185,666505060,666505060,0.01,36196,666505060,666505368,0.01,35817,666505368,666505368,0.01,35803,666505368,799852048,94.16,94.16,0.00,1616695,24.67,24.67,59,483812,7.38,7.38,666506473,0.01,36489,666506473,666506473,0.01,36597,666506473,666506932,0.01,36268,666506932,666506932,0.01,36330,666506932,666507299,0.01,36105,666507299,666507299,0.01,36181,666507299,666507679,0.01,35897,666507679,666507679,0.01,35967,666507679,799851431,99.84,99.84,0.00,1533563,23.40,23.40,57,578780,8.83,8.83,
2026-04-01,21:22:21.853,667178379,0.01,37082,667178379,667178379,0.01,37051,667178379,667179090,0.01,36277,667179090,667179090,0.01,36174,667179090,667179412,0.01,35842,667179412,667179412,0.01,35803,667179412,667179715,0.01,35385,667179715,667179715,0.01,35280,667179715,800655560,94.45,94.45,0.00,1612351,24.60,24.58,59,481630,7.35,7.34,667176032,0.01,37121,667176032,667176032,0.01,37050,667176032,667176479,0.01,36645,667176479,667176479,0.01,36646,667176479,667176821,0.01,36249,667176821,667176821,0.01,36240,667176821,667177035,0.01,36131,667177035,667177035,0.01,36133,667177035,800655774,99.98,99.98,0.00,1529865,23.34,23.32,56,585031,8.93,8.92,
2026-04-01,21:22:22.854,667168510,0.01,36387,667168510,667168510,0.01,36331,667168510,667169216,0.01,35550,667169216,667169216,0.01,35613,667169216,667169542,0.01,35203,667169542,667169542,0.01,35198,667169542,667169767,0.01,35003,667169767,667169767,0.01,35053,667169767,800646469,94.50,94.50,0.00,1612443,24.60,24.60,59,480940,7.34,7.34,667168035,0.01,37107,667168035,667168035,0.01,37171,667168035,667168447,0.01,36751,667168447,667168447,0.01,36802,667168447,667168693,0.01,36639,667168693,667168693,0.01,36689,667168693,667168931,0.01,36333,667168931,667168931,0.01,36375,667168931,800647067,99.98,99.98,0.00,1529580,23.34,23.34,55,574069,8.76,8.76,
2026-04-01,21:22:23.854,666493149,0.01,37225,666493149,666493149,0.01,37266,666493149,666493840,0.01,36708,666493840,666493840,0.01,36748,666493840,666494423,0.01,36452,666494423,666494423,0.01,36517,666494423,666494707,0.01,36267,666494707,666494707,0.01,36325,666494707,799837851,94.41,94.41,0.00,1617951,24.69,24.69,59,481692,7.35,7.35,666507989,0.01,37730,666507989,666507989,0.01,37680,666507989,666508680,0.01,37031,666508680,666508680,0.01,36988,666508680,666508861,0.01,36766,666508861,666508861,0.01,36717,666508861,666509119,0.01,36397,666509119,666509119,0.01,36349,666509119,799853474,99.95,99.95,0.00,1533927,23.41,23.41,56,574370,8.76,8.76,
2026-04-01,21:22:24.854,666525614,0.01,37299,666525614,666525614,0.01,37328,666525614,666526353,0.01,36561,666526353,666526353,0.01,36571,666526353,666526757,0.01,35954,666526757,666526757,0.01,35935,666526757,666526947,0.01,35768,666526947,666526947,0.01,35799,666526947,799876194,94.90,94.90,0.00,1608583,24.55,24.55,59,477946,7.29,7.29,666512043,0.01,37044,666512043,666512043,0.01,37029,666512043,666512383,0.01,36559,666512383,666512383,0.01,36538,666512383,666512854,0.01,36034,666512854,666512854,0.01,36033,666512854,666512945,0.01,36008,666512945,666512945,0.01,35991,666512945,799880904,99.97,99.97,0.00,1529755,23.34,23.34,55,571716,8.72,8.72,
