,,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,
Date,Time,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-04-01,21:27:27.831,667185909,0.01,39445,667185909,667185909,0.01,39291,667185909,667186604,0.01,38262,667186604,667186604,0.01,38266,667186604,667187081,0.01,37535,667187081,667187081,0.01,37422,667187081,667187565,0.01,36770,667187565,667187565,0.01,36756,667187565,800581171,94.92,94.92,0.00,1604973,24.49,24.49,59,502751,7.67,7.67,667104130,0.01,37228,667104130,667104130,0.01,37230,667104130,667104526,0.01,36771,667104526,667104526,0.01,36771,667104526,667104654,0.01,36585,667104654,667104654,0.01,36545,667104654,667104760,0.01,36520,667104760,667104760,0.01,36484,667104760,800615568,99.77,99.77,0.00,1533766,23.40,23.40,55,576043,8.79,8.79,
2026-04-01,21:27:28.831,666654680,0.01,37207,666654680,666654680,0.01,37360,666654680,666655282,0.01,36741,666655282,666655282,0.01,36639,666655282,666655628,0.01,36273,666655628,666655628,0.01,36279,666655628,666655882,0.01,35974,666655882,666655882,0.01,35880,666655882,800031047,94.76,94.76,0.00,1611230,24.59,24.59,59,505822,7.72,7.72,666656219,0.01,36889,666656219,666656219,0.01,36917,666656219,666656560,0.01,36603,666656560,666656560,0.01,36674,666656560,666656722,0.01,36469,666656722,666656722,0.01,36428,666656722,666656930,0.01,36205,666656930,666656930,0.01,36378,666656930,800022091,99.95,99.95,0.00,1528519,23.32,23.32,55,576743,8.80,8.80,
2026-04-01,21:27:29.831,666563213,0.01,37620,666563213,666563213,0.01,37538,666563213,666563897,0.01,36908,666563897,666563897,0.01,36989,666563897,666564269,0.01,36606,666564269,666564269,0.01,36607,666564269,666564585,0.01,36343,666564585,666564585,0.01,36495,666564585,799920121,94.44,94.44,0.00,1615157,24.65,24.65,59,504257,7.69,7.69,666562645,0.01,37740,666562645,666562645,0.01,37708,666562645,666563172,0.01,37230,666563172,666563172,0.01,37158,666563172,666563614,0.01,36688,666563614,666563614,0.01,36644,666563614,666563828,0.01,36431,666563828,666563828,0.01,36257,666563828,799893769,99.94,99.94,0.00,1528405,23.32,23.32,55,581364,8.87,8.87,
2026-04-01,21:27:30.831,666526093,0.01,37691,666526093,666526093,0.01,37675,666526093,666526759,0.01,36896,666526759,666526759,0.01,36815,666526759,666527089,0.01,36541,666527089,666527089,0.01,36539,666527089,666527361,0.01,36129,666527361,666527361,0.01,35973,666527361,799875158,94.62,94.62,0.00,1609730,24.56,24.56,59,504503,7.70,7.70,666525564,0.01,36985,666525564,666525564,0.01,36997,666525564,666526027,0.01,36475,666526027,666526027,0.01,36547,666526027,666526153,0.01,36421,666526153,666526153,0.01,36421,666526153,666526512,0.01,35962,666526512,666526512,0.01,35962,666526512,799877801,99.96,99.96,0.00,1528277,23.32,23.32,56,577450,8.81,8.81,
2026-04-01,21:27:31.831,667183379,0.01,37478,667183379,667183379,0.01,37400,667183379,667183873,0.01,36958,667183873,667183873,0.01,36953,667183873,667184691,0.01,36164,667184691,667184691,0.01,36169,667184691,667185087,0.01,35950,667185087,667185087,0.01,35948,667185087,800667293,94.41,94.41,0.00,1616401,24.66,24.66,59,504579,7.70,7.70,667186123,0.01,37253,667186123,667186123,0.01,37243,667186123,667186591,0.01,36762,667186591,667186591,0.01,36689,667186591,667187119,0.01,36140,667187119,667187119,0.01,36132,667187119,667187366,0.01,35971,667187366,667187366,0.01,35971,667187366,800666710,99.80,99.80,0.00,1532897,23.39,23.39,55,588846,8.99,8.99,
2026-04-01,21:27:32.831,666517788,0.01,37415,666517788,666517788,0.01,37567,666517788,666518413,0.01,36960,666518413,666518413,0.01,37049,666518413,666518731,0.01,36706,666518731,666518731,0.01,36705,666518731,666519102,0.01,36326,666519102,666519102,0.01,36436,666519102,799864815,94.67,94.67,0.00,1610386,24.57,24.57,60,503486,7.68,7.68,666516294,0.01,37492,666516294,666516294,0.01,37506,666516294,666516909,0.01,36976,666516909,666516909,0.01,36992,666516909,666517255,0.01,36669,666517255,666517255,0.01,36665,666517255,666517597,0.01,36247,666517597,666517597,0.01,36332,666517597,799863320,99.94,99.94,0.00,1529442,23.34,23.34,55,585632,8.94,8.94,
2026-04-01,21:27:33.831,666503724,0.01,37985,666503724,666503724,0.01,37803,666503724,666504462,0.01,49050,666504462,666504462,0.01,48947,666504462,666504988,0.01,48371,666504988,666504988,0.01,48348,666504988,666505333,0.01,47922,666505333,666505333,0.01,47845,666505333,799865075,94.57,94.57,0.00,1610855,24.58,24.58,60,508852,7.76,7.76,666517431,0.01,36874,666517431,666517431,0.01,36957,666517431,666517765,0.01,36539,666517765,666517765,0.01,36537,666517765,666518055,0.01,36256,666518055,666518055,0.01,36272,666518055,666518265,0.01,36148,666518265,666518265,0.01,36063,666518265,799866464,99.97,99.97,0.00,1528106,23.32,23.32,55,586909,8.96,8.96,
2026-04-01,21:27:34.831,666504005,0.01,49438,666504005,666504005,0.01,49470,666504005,666504631,0.01,36785,666504631,666504631,0.01,36788,666504631,666505174,0.01,36235,666505174,666505174,0.01,36252,666505174,666505502,0.01,35897,666505502,666505502,0.01,35859,666505502,799848678,94.35,94.35,0.00,1619291,24.71,24.71,59,503032,7.68,7.68,666503340,0.01,53381,666503340,666503340,0.01,53276,666503340,666503693,0.01,52865,666503693,666503693,0.01,52801,666503693,666504076,0.01,52361,666504076,666504076,0.01,52358,666504076,666504292,0.01,52002,666504292,666504292,0.01,51946,666504292,799865653,99.97,99.97,0.00,1528110,23.32,23.32,56,585647,8.94,8.94,
2026-04-01,21:27:35.831,666517776,0.01,37078,666517776,666517776,0.01,37140,666517776,666518421,0.01,36512,666518421,666518421,0.01,36517,666518421,666518740,0.01,36195,666518740,666518740,0.01,36187,666518740,666519070,0.01,35855,666519070,666519070,0.01,35853,666519070,799865277,94.31,94.31,0.00,1615937,24.66,24.66,60,487915,7.44,7.44,666500901,0.01,36602,666500901,666500901,0.01,36578,666500901,666501346,0.01,36147,666501346,666501346,0.01,36160,666501346,666501503,0.01,36102,666501503,666501503,0.01,36087,666501503,666501783,0.01,35851,666501783,666501783,0.01,35826,666501783,799870066,99.96,99.96,0.00,1528625,23.32,23.32,55,575840,8.79,8.79,
