Socket0_Watts,Socket1_Watts
24.67,23.39
24.69,23.32
24.6,23.32
24.63,23.33
24.49,23.4
24.65,23.32
24.61,23.32
24.64,23.32
24.58,23.32
24.72,23.32
24.67,23.41
24.68,23.36
24.61,23.35
24.67,23.32
24.6,23.32
24.7,23.36
24.69,23.37
24.64,23.32
24.55,23.32
24.65,23.33
24.51,23.29
24.64,23.5
24.59,23.36
24.75,23.32
24.59,23.29
24.56,23.34
24.5,23.33
24.62,23.34
24.62,23.32
24.56,23.33
24.49,23.32
24.63,23.39
24.57,23.41
24.69,23.34
24.5,23.36
24.51,23.38
24.63,23.32
24.59,23.36
24.6,23.34
24.48,23.3
24.63,23.35
24.52,23.41
24.63,23.32
24.6,23.36
24.52,23.32
24.72,23.32
24.61,23.34
24.66,23.32
24.47,23.32
24.65,23.35
24.58,23.32
24.66,23.32
24.62,23.34
24.53,23.32
24.6,23.35
24.45,23.36
24.69,23.32
24.5,23.31
24.48,23.36
24.41,23.33
