run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	10.72	239.57	2905.39	6594.16	99.57	13697.82	NA	1.55
2	10.34	230.89	3013.49	5918.87	108.63	10847.13	NA	1.48
3	10.95	253.89	2849.46	6026.41	100.23	16806.95	NA	2.14
4	10.99	242.69	2831.95	5607.61	100.28	9545.68	NA	1.41
5	11.13	252.77	2800.07	6026.41	108.28	10069.59	NA	1.85
6	10.63	245.45	2933.93	6247.39	101.03	10430.74	NA	2.02
7	10.93	246.76	2857.59	6026.41	100.25	10103.04	NA	1.73
8	10.67	245.43	2921.48	6026.41	90.51	14809.44	NA	1.97
9	10.44	234.51	2984.93	6247.39	83.67	10703.50	NA	1.58
10	10.74	246.65	2906.77	6247.39	101.28	11958.83	NA	1.96
