run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	11.05	245.72	2827.21	5918.87	83.64	9676.54	NA	1.52
2	10.84	242.80	2879.05	6247.39	100.29	9100.79	NA	1.60
3	11.23	253.55	2787.41	5918.87	84.06	13595.25	NA	1.77
4	12.03	269.85	2601.13	5507.54	91.97	9649.45	NA	1.80
5	11.82	271.37	2641.53	5709.50	95.05	11192.97	NA	2.15
6	11.20	246.95	2781.50	5607.61	100.22	10988.72	NA	1.41
7	10.67	240.06	2920.83	6135.91	92.46	12664.12	NA	1.64
8	10.60	230.79	2940.55	5813.24	108.64	10578.63	NA	1.16
9	10.63	232.98	2939.03	5607.61	108.60	10987.81	NA	1.25
10	10.76	244.93	2897.20	6135.91	102.09	10169.09	NA	1.83
