run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	477.50	10697.52	66.99	139.85	1.86	382.81	NA	70.59
2	473.42	10612.94	67.56	142.39	1.65	361.73	NA	70.39
3	470.27	10583.69	68.01	142.39	1.70	400.17	NA	72.53
4	471.58	10613.64	67.82	142.39	1.54	366.07	NA	72.69
5	473.81	10633.84	67.50	142.39	1.92	378.30	NA	71.22
6	474.76	10642.41	67.36	139.85	1.79	416.16	NA	70.56
7	477.50	10766.16	66.98	139.85	1.75	384.23	NA	74.81
8	474.33	10673.68	67.43	142.39	2.03	366.03	NA	73.00
9	472.38	10584.77	67.71	142.39	1.82	449.27	NA	69.92
10	473.91	10651.58	67.49	142.39	1.89	323.22	NA	72.18
