run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	18.65	426.59	1692.36	3773.42	50.71	7622.66	NA	3.30
2	18.56	417.46	1697.84	3639.94	50.25	6651.17	NA	2.86
3	18.25	408.95	1725.84	3639.94	47.76	6461.83	NA	2.71
4	18.23	412.52	1731.01	3706.08	54.64	7053.41	NA	2.95
5	18.11	410.75	1741.78	3639.94	50.22	7706.71	NA	2.98
6	17.99	408.62	1752.00	3574.99	50.16	8032.85	NA	3.01
7	18.27	409.81	1726.18	3574.99	54.29	9165.34	NA	2.72
8	17.85	402.22	1760.92	3773.42	58.96	7928.60	NA	2.77
9	16.41	372.09	1916.38	4055.23	67.31	6470.51	NA	2.70
10	16.45	370.84	1919.65	3706.08	58.91	11733.80	NA	2.58
