run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	580.29	13034.22	55.12	116.80	2.89	304.58	NA	87.86
2	582.94	13118.01	54.88	116.80	2.93	302.69	NA	89.83
3	580.06	13000.60	55.15	116.80	2.86	322.57	NA	86.08
4	582.45	13031.46	54.92	116.80	2.90	356.84	NA	85.10
5	576.50	12953.81	55.49	118.92	2.99	306.28	NA	87.61
6	580.48	13024.23	55.11	116.80	2.88	383.06	NA	87.08
7	580.32	13028.73	55.12	116.80	2.83	337.25	NA	87.46
8	580.89	13028.72	55.07	116.80	2.75	322.21	NA	86.85
9	580.84	13040.19	55.07	116.80	2.79	310.56	NA	87.54
10	579.42	13032.76	55.21	116.80	2.77	304.57	NA	88.86
