run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	438.19	9850.09	73.01	235.74	2.37	1777.82	NA	66.81
2	426.11	9554.77	75.07	248.83	2.71	883.42	NA	63.48
3	434.19	9751.81	73.69	235.74	2.59	878.53	NA	65.67
4	440.20	9908.62	72.54	231.53	2.98	1686.80	NA	67.95
5	441.73	9914.83	72.33	240.02	2.90	886.34	NA	66.41
6	440.11	9869.38	72.69	223.34	2.71	1882.54	NA	65.59
7	435.35	9732.90	73.49	248.83	2.80	715.15	NA	63.14
8	443.37	9937.19	72.16	231.53	2.71	1468.55	NA	65.82
9	455.67	10203.44	70.21	223.34	2.90	922.25	NA	67.01
10	441.67	9869.66	72.43	227.40	2.96	1581.59	NA	63.80
