run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	626.20	14057.94	51.08	106.75	3.42	315.53	NA	94.39
2	635.53	14257.64	50.33	106.75	3.50	292.74	NA	95.16
3	627.40	14042.80	50.98	108.68	3.49	258.66	NA	92.02
4	633.36	14209.81	50.49	106.75	3.43	293.52	NA	94.95
5	629.58	14154.18	50.80	106.75	3.44	324.69	NA	96.13
6	621.98	13960.62	51.42	108.68	3.46	286.49	NA	93.54
7	629.25	14114.03	50.83	106.75	3.39	301.48	NA	94.05
8	630.53	14148.39	50.73	106.75	3.62	282.36	NA	94.64
9	634.26	14262.09	50.43	106.75	3.44	262.38	NA	97.02
10	630.75	14172.91	50.71	106.75	3.29	272.90	NA	95.84
