run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	645.45	14499.72	49.55	104.84	3.40	286.21	NA	97.89
2	640.06	14365.48	49.97	104.84	3.41	285.87	NA	96.24
3	648.31	14569.88	49.33	104.84	3.49	283.77	NA	98.64
4	638.44	14323.66	50.10	104.84	3.37	282.59	NA	95.65
5	638.89	14314.02	50.06	104.84	3.50	257.84	NA	94.55
6	638.09	14316.93	50.12	104.84	3.55	287.22	NA	95.69
7	651.80	14634.81	49.07	102.97	3.34	239.01	NA	98.37
8	655.78	14729.42	48.77	102.97	3.15	294.95	NA	99.33
9	645.06	14487.28	49.58	104.84	3.39	243.66	NA	97.62
10	644.21	14500.04	49.64	104.84	3.44	353.61	NA	99.35
