run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	786.37	17683.99	40.68	86.00	1.27	225.54	NA	120.47
2	781.48	17544.48	40.94	86.00	1.31	309.14	NA	117.85
3	773.81	17399.17	41.34	87.56	1.33	274.25	NA	118.28
4	767.97	17317.40	41.66	87.56	1.33	270.14	NA	120.42
5	778.22	17513.18	41.11	87.56	1.44	230.44	NA	119.89
6	777.01	17443.10	41.17	87.56	1.42	247.90	NA	117.11
7	770.67	17371.03	41.51	87.56	1.34	241.47	NA	120.40
8	774.46	17382.64	41.31	86.00	1.42	223.74	NA	116.55
9	772.65	17355.59	41.40	87.56	1.39	293.85	NA	117.07
10	770.63	17326.71	41.51	87.56	1.34	236.15	NA	117.72
