run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	754.70	16952.24	42.39	89.16	1.35	286.02	NA	114.27
2	764.16	17194.18	41.86	87.56	1.38	252.05	NA	117.53
3	759.61	17087.87	42.12	89.16	1.29	226.24	NA	116.65
4	750.97	16946.63	42.60	90.78	1.38	242.76	NA	118.59
5	749.18	16832.17	42.70	89.16	1.44	237.33	NA	113.76
6	752.90	16932.53	42.49	89.16	1.33	249.26	NA	115.33
7	760.56	17079.18	42.06	87.56	1.38	210.03	NA	114.92
8	755.03	16973.27	42.37	89.16	1.43	260.89	NA	115.18
9	750.66	16856.59	42.62	89.16	1.35	245.96	NA	113.43
10	757.29	17033.48	42.25	89.16	1.39	241.33	NA	116.12
