run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	773.57	17421.80	41.36	87.56	1.38	273.05	NA	120.03
2	772.25	17338.64	41.43	87.56	1.43	269.61	NA	116.54
3	767.24	17260.36	41.70	87.56	1.33	253.48	NA	117.89
4	778.33	17490.80	41.10	86.00	1.41	276.96	NA	118.42
5	768.97	17312.22	41.60	87.56	1.45	255.16	NA	118.97
6	768.12	17276.92	41.65	87.56	1.38	253.45	NA	117.79
7	774.88	17419.89	41.28	87.56	1.45	262.81	NA	118.29
8	771.34	17349.50	41.47	87.56	1.35	244.63	NA	118.30
9	787.31	17670.18	40.63	86.00	1.41	262.77	NA	118.35
10	770.56	17304.48	41.52	87.56	1.33	254.34	NA	116.47
