run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	748.71	16808.40	42.73	90.78	1.36	254.49	NA	112.92
2	741.65	16668.26	43.14	90.78	1.35	254.18	NA	112.89
3	740.11	16659.28	43.22	90.78	1.42	284.32	NA	114.27
4	739.66	16577.23	43.25	90.78	1.39	289.57	NA	109.76
5	749.53	16859.12	42.68	90.78	1.32	239.83	NA	115.05
6	743.95	16727.28	43.00	90.78	1.42	248.39	NA	113.67
7	745.16	16775.78	42.93	90.78	1.33	283.94	NA	115.30
8	742.50	16728.33	43.08	90.78	1.37	267.92	NA	115.63
9	742.20	16688.68	43.10	90.78	1.37	240.66	NA	113.50
10	741.27	16651.34	43.16	90.78	1.37	257.81	NA	112.40
