run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	14.68	332.91	2145.56	4517.90	68.33	7956.79	NA	2.42
2	15.24	351.50	2067.18	4437.27	62.09	16758.87	NA	2.87
3	15.62	357.14	2014.77	4517.90	57.77	8791.32	NA	2.75
4	15.67	348.22	2008.10	4128.91	66.35	8545.53	NA	2.14
5	15.34	342.74	2049.58	4437.27	58.82	7331.90	NA	2.21
6	14.92	335.56	2108.20	4437.27	54.28	7232.27	NA	2.28
7	14.69	336.74	2143.88	4683.57	67.31	9273.23	NA	2.64
8	15.07	334.11	2089.14	4358.09	62.22	7547.97	NA	2.01
9	15.26	340.44	2061.43	4358.09	64.02	10150.45	NA	2.17
10	14.99	344.16	2100.49	4599.99	63.49	11095.43	NA	2.74
