run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	15.20	342.21	2072.28	4599.99	71.07	7827.11	NA	2.36
2	14.94	333.42	2102.38	4437.27	74.37	8386.67	NA	2.13
3	15.18	341.77	2072.83	4437.27	67.27	9223.20	NA	2.35
4	14.88	339.07	2114.07	4599.99	56.94	9317.04	NA	2.56
5	14.95	336.46	2104.02	4437.27	58.92	7350.76	NA	2.30
6	15.07	333.50	2085.17	4517.90	70.21	7171.45	NA	1.98
7	15.07	340.55	2087.20	4517.90	58.96	7388.42	NA	2.42
8	15.17	339.09	2073.51	4517.90	58.73	7088.37	NA	2.19
9	15.16	340.31	2074.73	4599.99	57.08	9913.88	NA	2.28
10	15.09	331.43	2084.27	4599.99	50.56	8094.37	NA	1.82
