run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	742.37	16670.26	43.09	90.78	2.00	302.66	NA	112.17
2	738.33	16596.92	43.33	90.78	1.98	249.67	NA	112.48
3	741.46	16646.54	43.14	90.78	2.02	245.73	NA	111.82
4	741.78	16665.66	43.12	90.78	2.01	246.65	NA	112.55
5	742.76	16647.82	43.07	90.78	1.93	261.15	NA	110.38
6	740.73	16663.62	43.19	90.78	1.96	259.54	NA	113.68
7	739.99	16626.07	43.23	90.78	1.67	277.60	NA	112.42
8	739.72	16602.96	43.24	90.78	1.87	228.61	NA	111.26
9	739.15	16610.32	43.28	90.78	1.73	314.29	NA	112.47
10	737.20	16548.38	43.39	90.78	1.91	290.64	NA	111.06
