run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	746.75	16784.52	42.84	90.78	1.93	247.25	NA	113.77
2	751.96	16878.65	42.54	90.78	1.95	289.60	NA	113.22
3	746.75	16794.63	42.84	90.78	1.91	292.83	NA	114.41
4	748.48	16854.06	42.74	90.78	1.96	354.78	NA	115.92
5	748.55	16833.25	42.73	90.78	1.98	227.16	NA	114.53
6	750.99	16808.65	42.60	89.16	1.96	235.07	NA	110.07
7	749.68	16855.35	42.67	90.78	1.88	240.55	NA	114.56
8	749.84	16878.57	42.66	90.78	1.81	328.52	NA	115.74
9	727.14	16344.49	43.99	92.42	1.87	257.13	NA	110.82
10	745.67	16760.53	42.90	89.16	1.87	265.27	NA	113.61
