run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	876.47	19616.61	36.50	75.82	2.56	179.47	NA	128.40
2	880.58	19750.93	36.33	75.82	2.58	223.06	NA	131.58
3	875.50	19639.18	36.54	75.82	2.57	207.19	NA	130.98
4	877.14	19663.43	36.47	75.82	2.63	173.09	NA	130.53
5	874.33	19640.57	36.59	77.19	2.52	210.93	NA	132.54
6	870.89	19525.48	36.73	77.19	2.57	217.46	NA	129.68
7	874.50	19578.76	36.58	75.82	2.58	263.06	NA	128.47
8	875.87	19638.44	36.52	77.19	2.51	214.11	NA	130.49
9	874.70	19623.87	36.57	75.82	2.45	217.09	NA	131.05
10	868.15	19465.03	36.84	77.19	2.43	215.56	NA	129.30
