run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	763.76	17204.33	41.88	89.16	2.01	245.83	NA	118.74
2	759.64	17076.75	42.11	89.16	1.93	236.74	NA	115.99
3	761.36	17084.63	42.02	89.16	1.86	217.61	NA	114.34
4	760.15	17106.71	42.08	89.16	1.90	319.28	NA	117.11
5	760.66	17096.78	42.05	89.16	2.00	285.81	NA	115.95
6	760.85	17100.06	42.04	89.16	1.96	216.68	NA	115.87
7	761.71	17138.87	42.00	89.16	1.92	288.35	NA	117.17
8	767.27	17254.45	41.69	87.56	1.96	252.41	NA	117.45
9	760.96	17102.88	42.04	89.16	1.80	227.10	NA	115.88
10	758.90	17061.17	42.15	89.16	1.89	244.67	NA	115.88
