run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	763.57	17174.90	41.89	89.16	1.80	249.25	NA	117.05
2	766.87	17247.33	41.71	87.56	1.93	268.26	NA	117.51
3	763.12	17183.87	41.92	89.16	1.67	252.90	NA	118.20
4	761.46	17108.99	42.01	89.16	1.87	246.65	NA	115.69
5	759.57	17071.24	42.12	89.16	1.94	261.85	NA	115.65
6	765.86	17218.31	41.77	87.56	1.93	207.57	NA	116.95
7	770.49	17332.37	41.52	87.56	1.96	242.79	NA	118.27
8	765.90	17251.62	41.77	87.56	1.91	256.17	NA	118.97
9	763.22	17179.90	41.91	89.16	1.98	209.49	NA	117.87
10	761.92	17135.82	41.98	89.16	1.86	232.75	NA	116.72
