run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	766.69	17245.20	41.72	87.56	1.94	258.48	NA	117.64
2	767.13	17256.64	41.70	87.56	1.95	237.55	NA	117.77
3	768.19	17245.68	41.64	87.56	1.92	208.15	NA	115.80
4	765.89	17218.60	41.77	87.56	1.94	233.21	NA	116.97
5	765.35	17236.41	41.80	89.16	1.88	246.29	NA	118.64
6	766.88	17248.67	41.71	89.16	1.84	239.09	NA	117.62
7	768.88	17253.73	41.60	87.56	1.90	254.30	NA	115.55
8	766.74	17215.11	41.72	89.16	1.77	274.23	NA	115.80
9	768.17	17265.58	41.64	87.56	1.89	259.16	NA	117.00
10	764.29	17208.35	41.85	89.16	1.80	235.56	NA	118.33
