run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	754.14	16970.40	42.41	89.16	1.90	212.01	NA	116.13
2	754.61	16961.80	42.39	89.16	1.81	280.16	NA	114.99
3	755.15	17026.44	42.35	89.16	1.73	226.19	NA	118.34
4	730.67	16455.98	43.78	90.78	1.87	274.68	NA	113.38
5	748.33	16826.31	42.74	90.78	1.91	222.65	NA	114.38
6	747.86	16854.53	42.77	90.78	1.83	241.31	NA	116.69
7	761.29	17082.27	42.02	89.16	2.04	249.50	NA	114.20
8	757.63	16980.74	42.22	89.16	1.82	243.53	NA	112.52
9	756.22	16998.20	42.30	89.16	1.92	206.95	NA	115.26
10	757.61	17013.00	42.22	89.16	1.61	289.28	NA	114.50
