Core Power License 0: Core cycles where the core was running with power-delivery for baseline license level 0.  This includes non-AVX codes, SSE, AVX 128-bit, and low-current AVX 256-bit codes.
Core Power License 1: Core cycles where the core was running with power-delivery for license level 1.  This includes high current AVX 256-bit instructions as well as low current AVX 512-bit instructions.
Core Power License 2: Core cycles where the core was running with power-delivery for license level 2 (introduced in Skylake Server michroarchtecture). This includes high current AVX 512-bit instructions.
,,S0,S0,S0,S0,S0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,
Date,Time,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-04-01,22:22:29.079,2.20,2.10,100.00,0.00,0.00,1333945914,100.00,-1,-1,1333945914,100.00,-1,-1,1333945806,100.00,-1,-1,1333945806,100.00,-1,-1,1333945730,100.00,-1,-1,1333945730,100.00,-1,-1,1333945686,100.00,-1,-1,1333945686,100.00,-1,-1,1333945686,100.00,-1,-1,1333945686,100.00,-1,-1,1333945682,100.00,-1,-1,1333945682,100.00,-1,-1,1333945684,100.00,-1,-1,1333945684,100.00,-1,-1,1333945686,100.00,-1,-1,1333945686,100.00,-1,-1,1100609163,0.00,0.00,0.00,1519666,92.75,92.75,62,696466,10.66,10.66,
2026-04-01,22:22:30.082,2.20,2.09,99.99,0.01,0.00,1333000560,100.00,-1,-1,1333000560,100.00,-1,-1,1333000612,100.00,-1,-1,1333000612,100.00,-1,-1,1333000668,100.00,-1,-1,1333000668,100.00,-1,-1,1333000724,100.00,-1,-1,1333000724,100.00,-1,-1,1333000796,100.00,-1,-1,1333000796,100.00,-1,-1,1333000854,100.00,-1,-1,1333000854,100.00,-1,-1,1333000906,100.00,-1,-1,1333000906,100.00,-1,-1,1333000960,100.00,-1,-1,1333000960,100.00,-1,-1,1099936954,0.00,0.00,0.00,1514057,92.41,92.41,62,695658,10.64,10.64,
2026-04-01,22:22:31.080,2.20,2.08,99.98,0.02,0.00,1332989516,100.00,-1,-1,1332989516,100.00,-1,-1,1332989432,100.00,-1,-1,1332989432,100.00,-1,-1,1332989404,100.00,-1,-1,1332989404,100.00,-1,-1,1332989374,100.00,-1,-1,1332989374,100.00,-1,-1,1332989330,100.00,-1,-1,1332989330,100.00,-1,-1,1332989212,100.00,-1,-1,1332989212,100.00,-1,-1,1332989080,100.00,-1,-1,1332989080,100.00,-1,-1,1332989036,100.00,-1,-1,1332989036,100.00,-1,-1,1099746948,0.00,0.00,0.00,1519681,92.75,92.75,62,697645,10.67,10.67,
2026-04-01,22:22:32.079,2.20,2.08,100.00,0.00,0.00,1333225954,100.00,-1,-1,1333225954,100.00,-1,-1,1333226000,100.00,-1,-1,1333226000,100.00,-1,-1,1333226042,100.00,-1,-1,1333226042,100.00,-1,-1,1333226082,100.00,-1,-1,1333226082,100.00,-1,-1,1333226130,100.00,-1,-1,1333226130,100.00,-1,-1,1333226174,100.00,-1,-1,1333226174,100.00,-1,-1,1333226084,100.00,-1,-1,1333226084,100.00,-1,-1,1333226140,100.00,-1,-1,1333226140,100.00,-1,-1,1100100641,0.00,0.00,0.00,1518077,92.66,92.66,62,698590,10.69,10.69,
2026-04-01,22:22:33.079,2.20,2.09,100.00,0.00,0.00,1333195426,100.00,-1,-1,1333195426,100.00,-1,-1,1333195430,100.00,-1,-1,1333195430,100.00,-1,-1,1333195386,100.00,-1,-1,1333195386,100.00,-1,-1,1333195388,100.00,-1,-1,1333195388,100.00,-1,-1,1333195390,100.00,-1,-1,1333195390,100.00,-1,-1,1333195396,100.00,-1,-1,1333195396,100.00,-1,-1,1333195396,100.00,-1,-1,1333195396,100.00,-1,-1,1333195396,100.00,-1,-1,1333195396,100.00,-1,-1,1100010805,0.00,0.00,0.00,1513911,92.40,92.40,62,696573,10.66,10.66,
2026-04-01,22:22:34.080,2.20,2.09,100.00,0.00,0.00,1333181748,100.00,-1,-1,1333181748,100.00,-1,-1,1333181750,100.00,-1,-1,1333181750,100.00,-1,-1,1333181750,100.00,-1,-1,1333181750,100.00,-1,-1,1333181752,100.00,-1,-1,1333181752,100.00,-1,-1,1333181750,100.00,-1,-1,1333181750,100.00,-1,-1,1333181800,100.00,-1,-1,1333181800,100.00,-1,-1,1333181804,100.00,-1,-1,1333181804,100.00,-1,-1,1333181806,100.00,-1,-1,1333181806,100.00,-1,-1,1099998900,0.00,0.00,0.00,1514374,92.43,92.43,63,695300,10.64,10.64,
2026-04-01,22:22:35.079,2.20,2.10,100.00,0.00,0.00,1333286480,100.00,-1,-1,1333286480,100.00,-1,-1,1333286374,100.00,-1,-1,1333286374,100.00,-1,-1,1333286378,100.00,-1,-1,1333286378,100.00,-1,-1,1333286378,100.00,-1,-1,1333286378,100.00,-1,-1,1333286384,100.00,-1,-1,1333286384,100.00,-1,-1,1333286390,100.00,-1,-1,1333286390,100.00,-1,-1,1333286400,100.00,-1,-1,1333286400,100.00,-1,-1,1333286364,100.00,-1,-1,1333286364,100.00,-1,-1,1100085305,0.00,0.00,0.00,1509733,92.15,92.15,62,696657,10.66,10.66,
2026-04-01,22:22:36.079,2.20,2.09,100.00,0.00,0.00,1333385408,100.00,-1,-1,1333385408,100.00,-1,-1,1333385410,100.00,-1,-1,1333385410,100.00,-1,-1,1333385406,100.00,-1,-1,1333385406,100.00,-1,-1,1333385404,100.00,-1,-1,1333385404,100.00,-1,-1,1333385402,100.00,-1,-1,1333385402,100.00,-1,-1,1333385384,100.00,-1,-1,1333385384,100.00,-1,-1,1333385380,100.00,-1,-1,1333385380,100.00,-1,-1,1333385354,100.00,-1,-1,1333385354,100.00,-1,-1,1100165140,0.00,0.00,0.00,1514872,92.46,92.46,62,696294,10.65,10.65,
2026-04-01,22:22:37.080,2.20,2.10,100.00,0.00,0.00,1333397948,100.00,-1,-1,1333397948,100.00,-1,-1,1333397950,100.00,-1,-1,1333397950,100.00,-1,-1,1333397944,100.00,-1,-1,1333397944,100.00,-1,-1,1333397940,100.00,-1,-1,1333397940,100.00,-1,-1,1333397942,100.00,-1,-1,1333397942,100.00,-1,-1,1333397992,100.00,-1,-1,1333397992,100.00,-1,-1,1333398068,100.00,-1,-1,1333398068,100.00,-1,-1,1333398068,100.00,-1,-1,1333398068,100.00,-1,-1,1100206286,0.00,0.00,0.00,1511951,92.28,92.28,62,697611,10.67,10.67,
