Core Power License 0: Core cycles where the core was running with power-delivery for baseline license level 0.  This includes non-AVX codes, SSE, AVX 128-bit, and low-current AVX 256-bit codes.
Core Power License 1: Core cycles where the core was running with power-delivery for license level 1.  This includes high current AVX 256-bit instructions as well as low current AVX 512-bit instructions.
Core Power License 2: Core cycles where the core was running with power-delivery for license level 2 (introduced in Skylake Server michroarchtecture). This includes high current AVX 512-bit instructions.
,,S0,S0,S0,S0,S0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,
Date,Time,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-04-01,22:24:29.322,2.20,2.08,100.00,0.00,0.00,1337909472,100.00,-1,-1,1337909472,100.00,-1,-1,1337909470,100.00,-1,-1,1337909470,100.00,-1,-1,1337909472,100.00,-1,-1,1337909472,100.00,-1,-1,1337909478,100.00,-1,-1,1337909478,100.00,-1,-1,1337909506,100.00,-1,-1,1337909506,100.00,-1,-1,1337909558,100.00,-1,-1,1337909558,100.00,-1,-1,1337909564,100.00,-1,-1,1337909564,100.00,-1,-1,1337909564,100.00,-1,-1,1337909564,100.00,-1,-1,1103883462,0.00,0.00,0.00,1519887,92.77,92.77,61,700787,10.72,10.72,
2026-04-01,22:24:30.321,2.20,2.08,100.00,0.00,0.00,1333495554,100.00,-1,-1,1333495554,100.00,-1,-1,1333495562,100.00,-1,-1,1333495562,100.00,-1,-1,1333495614,100.00,-1,-1,1333495614,100.00,-1,-1,1333495666,100.00,-1,-1,1333495666,100.00,-1,-1,1333495714,100.00,-1,-1,1333495714,100.00,-1,-1,1333495704,100.00,-1,-1,1333495704,100.00,-1,-1,1333495680,100.00,-1,-1,1333495680,100.00,-1,-1,1333495730,100.00,-1,-1,1333495730,100.00,-1,-1,1100342262,0.00,0.00,0.00,1514286,92.42,92.42,61,698626,10.69,10.69,
2026-04-01,22:24:31.321,2.20,2.10,100.00,0.00,0.00,1333596720,100.00,-1,-1,1333596720,100.00,-1,-1,1333596720,100.00,-1,-1,1333596720,100.00,-1,-1,1333596724,100.00,-1,-1,1333596724,100.00,-1,-1,1333596730,100.00,-1,-1,1333596730,100.00,-1,-1,1333596730,100.00,-1,-1,1333596730,100.00,-1,-1,1333596786,100.00,-1,-1,1333596786,100.00,-1,-1,1333596816,100.00,-1,-1,1333596816,100.00,-1,-1,1333596814,100.00,-1,-1,1333596814,100.00,-1,-1,1100325358,0.00,0.00,0.00,1514957,92.47,92.47,61,700015,10.71,10.71,
2026-04-01,22:24:32.322,2.20,2.09,100.00,0.00,0.00,1333253862,100.00,-1,-1,1333253862,100.00,-1,-1,1333253904,100.00,-1,-1,1333253904,100.00,-1,-1,1333253906,100.00,-1,-1,1333253906,100.00,-1,-1,1333253900,100.00,-1,-1,1333253900,100.00,-1,-1,1333253900,100.00,-1,-1,1333253900,100.00,-1,-1,1333253900,100.00,-1,-1,1333253900,100.00,-1,-1,1333253904,100.00,-1,-1,1333253904,100.00,-1,-1,1333253902,100.00,-1,-1,1333253902,100.00,-1,-1,1100065178,0.00,0.00,0.00,1518201,92.66,92.66,60,701333,10.73,10.73,
2026-04-01,22:24:33.322,2.20,2.10,100.00,0.00,0.00,1333325412,100.00,-1,-1,1333325412,100.00,-1,-1,1333325420,100.00,-1,-1,1333325420,100.00,-1,-1,1333325436,100.00,-1,-1,1333325436,100.00,-1,-1,1333325444,100.00,-1,-1,1333325444,100.00,-1,-1,1333325460,100.00,-1,-1,1333325460,100.00,-1,-1,1333325470,100.00,-1,-1,1333325470,100.00,-1,-1,1333325480,100.00,-1,-1,1333325480,100.00,-1,-1,1333325490,100.00,-1,-1,1333325490,100.00,-1,-1,1100129456,0.00,0.00,0.00,1519156,92.72,92.72,61,701912,10.74,10.74,
2026-04-01,22:24:34.322,2.20,2.10,100.00,0.00,0.00,1333295930,100.00,-1,-1,1333295930,100.00,-1,-1,1333295930,100.00,-1,-1,1333295930,100.00,-1,-1,1333295896,100.00,-1,-1,1333295896,100.00,-1,-1,1333295834,100.00,-1,-1,1333295834,100.00,-1,-1,1333295830,100.00,-1,-1,1333295830,100.00,-1,-1,1333295834,100.00,-1,-1,1333295834,100.00,-1,-1,1333295920,100.00,-1,-1,1333295920,100.00,-1,-1,1333295920,100.00,-1,-1,1333295920,100.00,-1,-1,1100107918,0.00,0.00,0.00,1515040,92.47,92.38,60,700557,10.72,10.71,
2026-04-01,22:24:35.323,2.20,2.12,100.00,0.00,0.00,1334547756,100.00,-1,-1,1334547756,100.00,-1,-1,1334547718,100.00,-1,-1,1334547718,100.00,-1,-1,1334547674,100.00,-1,-1,1334547674,100.00,-1,-1,1334547634,100.00,-1,-1,1334547634,100.00,-1,-1,1334547620,100.00,-1,-1,1334547620,100.00,-1,-1,1334547540,100.00,-1,-1,1334547540,100.00,-1,-1,1334547630,100.00,-1,-1,1334547630,100.00,-1,-1,1334547570,100.00,-1,-1,1334547570,100.00,-1,-1,1101125982,0.00,0.00,0.00,1517996,92.65,92.56,60,701175,10.73,10.72,
2026-04-01,22:24:36.324,2.20,2.10,100.00,0.00,0.00,1333676708,100.00,-1,-1,1333676708,100.00,-1,-1,1333676710,100.00,-1,-1,1333676710,100.00,-1,-1,1333676724,100.00,-1,-1,1333676724,100.00,-1,-1,1333676726,100.00,-1,-1,1333676726,100.00,-1,-1,1333676724,100.00,-1,-1,1333676724,100.00,-1,-1,1333676724,100.00,-1,-1,1333676724,100.00,-1,-1,1333676724,100.00,-1,-1,1333676724,100.00,-1,-1,1333676730,100.00,-1,-1,1333676730,100.00,-1,-1,1100407405,0.00,0.00,0.00,1511950,92.28,92.28,60,697974,10.68,10.68,
2026-04-01,22:24:37.324,2.20,2.11,100.00,0.00,0.00,1334019320,100.00,-1,-1,1334019320,100.00,-1,-1,1334019320,100.00,-1,-1,1334019320,100.00,-1,-1,1334019324,100.00,-1,-1,1334019324,100.00,-1,-1,1334019326,100.00,-1,-1,1334019326,100.00,-1,-1,1334019320,100.00,-1,-1,1334019320,100.00,-1,-1,1334019316,100.00,-1,-1,1334019316,100.00,-1,-1,1334019298,100.00,-1,-1,1334019298,100.00,-1,-1,1334019334,100.00,-1,-1,1334019334,100.00,-1,-1,1100691000,0.00,0.00,0.00,1514894,92.46,92.37,60,700917,10.72,10.71,
