run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	583.65	13110.98	54.81	116.80	2.36	328.51	NA	88.47
2	586.79	13166.15	54.51	114.72	2.56	309.63	NA	87.94
3	587.41	13231.28	54.46	114.72	2.51	287.03	NA	91.25
4	473.66	10655.36	67.54	155.80	2.53	2730.03	NA	72.73
5	585.68	13121.47	54.62	114.72	2.43	365.10	NA	86.65
6	585.41	13124.82	54.64	114.72	2.53	270.67	NA	87.09
7	580.37	13043.67	55.12	116.80	2.61	277.42	NA	88.31
8	583.59	13129.24	54.82	116.80	2.48	272.38	NA	89.70
9	582.66	13111.06	54.90	116.80	2.62	311.93	NA	89.70
10	583.67	13128.55	54.81	116.80	2.46	351.31	NA	89.52
