run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	583.44	13107.22	54.83	116.80	2.47	365.66	NA	88.45
2	581.42	13055.88	55.02	116.80	2.31	302.23	NA	87.78
3	584.25	13133.32	54.75	116.80	2.49	369.71	NA	89.14
4	584.57	13114.11	54.72	116.80	2.50	293.14	NA	87.50
5	585.89	13167.23	54.60	114.72	2.45	310.61	NA	89.20
6	580.95	13022.56	55.06	116.80	2.60	327.72	NA	86.38
7	591.59	13322.88	54.07	114.72	2.46	297.60	NA	91.71
8	588.33	13162.77	54.37	114.72	2.53	343.91	NA	85.90
9	588.23	13187.61	54.38	114.72	2.48	285.13	NA	87.57
10	584.01	13110.34	54.78	116.80	2.51	336.21	NA	87.96
