run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	585.49	13143.20	54.63	116.80	2.42	297.12	NA	88.19
2	580.18	13048.90	55.13	116.80	2.47	273.73	NA	88.99
3	582.22	13063.38	54.94	116.80	2.55	278.24	NA	87.33
4	580.01	13033.71	55.15	116.80	2.47	284.60	NA	88.17
5	583.22	13104.84	54.85	116.80	2.60	294.39	NA	88.63
6	584.59	13110.87	54.72	114.72	2.59	301.35	NA	87.35
7	583.99	13093.74	54.77	116.80	2.50	362.67	NA	87.00
8	580.35	13078.48	55.12	116.80	2.61	305.16	NA	90.52
9	579.34	13016.66	55.21	116.80	2.45	298.90	NA	87.99
10	581.43	13073.97	55.01	116.80	2.55	289.52	NA	88.95
