run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	583.48	13119.14	54.82	116.80	2.53	310.53	NA	89.23
2	581.90	13105.26	54.97	116.80	2.52	319.79	NA	90.26
3	587.12	13179.27	54.48	114.72	2.50	295.25	NA	88.43
4	584.97	13141.81	54.68	114.72	2.57	312.99	NA	88.76
5	584.19	13144.41	54.75	116.80	2.50	330.16	NA	89.87
6	583.70	13144.30	54.80	116.80	2.59	286.88	NA	90.46
7	588.31	13226.28	54.37	114.72	2.54	354.99	NA	89.87
8	582.81	13119.39	54.88	116.80	2.45	411.21	NA	90.02
9	584.11	13107.91	54.76	116.80	2.36	295.42	NA	87.68
10	583.62	13124.36	54.81	116.80	2.54	300.24	NA	89.34
