run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	587.39	13246.41	54.46	116.80	2.37	299.92	NA	92.23
2	589.92	13224.66	54.23	114.72	2.44	328.59	NA	87.76
3	585.47	13157.37	54.64	116.80	2.53	264.17	NA	89.04
4	587.15	13199.11	54.48	114.72	2.47	327.06	NA	89.66
5	588.82	13221.81	54.33	114.72	2.41	309.35	NA	88.95
6	589.14	13235.82	54.30	114.72	2.42	309.08	NA	89.43
7	587.98	13184.50	54.41	114.72	2.38	281.17	NA	87.73
8	588.95	13239.02	54.32	116.80	2.45	301.21	NA	89.83
9	585.71	13189.80	54.62	116.80	2.56	294.07	NA	90.77
10	588.70	13220.31	54.34	114.72	2.53	313.70	NA	88.99
