run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	590.83	13257.62	54.14	114.72	2.42	336.01	NA	88.75
2	585.62	13180.11	54.62	114.72	2.54	331.53	NA	90.26
3	584.87	13168.09	54.70	116.80	2.43	284.00	NA	90.47
4	586.25	13164.01	54.56	116.80	2.50	315.83	NA	88.49
5	582.49	13096.71	54.91	116.80	2.47	313.97	NA	89.03
6	583.82	13135.54	54.79	116.80	2.56	295.52	NA	89.74
7	585.46	13176.77	54.64	116.80	2.50	304.05	NA	90.33
8	584.17	13066.39	54.76	116.80	2.57	288.58	NA	85.12
9	584.30	13125.16	54.75	116.80	2.62	341.29	NA	88.54
10	584.80	13121.31	54.70	114.72	2.46	298.66	NA	87.68
