,,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,
Date,Time,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-04-01,21:21:23.953,1065359025,0.15,155058,106535902,1065359025,100.00,-1,-1,1065367681,0.21,254123,118374186,1065367681,100.00,-1,-1,1065376486,0.26,255160,96852407,1065376486,100.00,-1,-1,1065384892,0.27,289550,106538489,1065384892,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998904437,0.00,0.00,0.00,579730,35.38,35.49,59,349848,5.35,5.37,
2026-04-01,21:21:24.951,1063628548,0.56,333296,59090474,1063628548,100.00,-1,-1,1063624212,0.42,212985,50648772,1063624212,100.00,-1,-1,1063619942,0.52,422449,81816918,1063619942,100.00,-1,-1,1063615708,0.49,398744,81816592,1063615708,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997130167,0.00,0.00,0.00,573139,34.98,35.05,59,346884,5.31,5.32,
2026-04-01,21:21:25.952,1065022520,0.60,333830,56053816,1065022520,100.00,-1,-1,1065022863,0.76,474290,62648403,1065022863,100.00,-1,-1,1065022862,0.61,363053,59167936,1065022862,100.00,-1,-1,1065022902,0.61,433633,71001526,1065022902,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998408266,0.00,0.00,0.00,575460,35.12,35.19,59,346194,5.30,5.31,
2026-04-01,21:21:26.952,1064298885,0.22,231519,106429888,1064298885,100.00,-1,-1,1064302953,0.27,237547,88691912,1064302953,100.00,-1,-1,1064307129,0.27,359726,133038391,1064307129,100.00,-1,-1,1064311252,0.26,302296,118256805,1064311252,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997841036,0.00,0.00,0.00,576581,35.19,35.26,59,347894,5.32,5.33,
2026-04-01,21:21:27.953,1064221085,0.35,231839,66513817,1064221085,100.00,-1,-1,1064220890,0.43,385709,88685074,1064220890,100.00,-1,-1,1064221619,0.49,287591,59123423,1064221619,100.00,-1,-1,1064221594,0.34,261944,76015828,1064221594,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997700188,0.00,0.00,0.00,577779,35.26,35.34,59,347879,5.32,5.33,
2026-04-01,21:21:28.953,1064204184,0.17,115224,66512761,1064204184,100.00,-1,-1,1064204211,0.10,73918,70946947,1064204211,100.00,-1,-1,1064203200,0.31,171301,56010694,1064203200,100.00,-1,-1,1064203239,0.44,315703,70946882,1064203239,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997925023,0.00,0.00,0.00,575018,35.10,35.20,59,347688,5.32,5.34,
2026-04-01,21:21:29.953,1064248591,0.33,247071,76017756,1064248591,100.00,-1,-1,1064254096,0.46,287215,62603182,1064254096,100.00,-1,-1,1064260492,0.28,184349,66516280,1064260492,100.00,-1,-1,1064265909,0.36,293119,81866608,1064265909,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997757769,0.00,0.00,0.00,575977,35.15,35.23,59,346337,5.30,5.31,
2026-04-01,21:21:30.954,1064613458,0.50,292990,59145192,1064613458,100.00,-1,-1,1064608066,0.58,283056,48391275,1064608066,100.00,-1,-1,1064602129,0.30,188253,62623654,1064602129,100.00,-1,-1,1064596832,0.42,246649,59144268,1064596832,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997835520,0.00,0.00,0.00,574223,35.05,35.12,59,347960,5.32,5.33,
2026-04-01,21:21:31.953,1064706616,1.00,408196,40950254,1064706616,100.00,-1,-1,1064706558,0.93,381447,40950252,1064706558,100.00,-1,-1,1064706144,0.95,338591,35490204,1064706144,100.00,-1,-1,1064705981,1.11,492390,44362749,1064705981,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998144512,0.00,0.00,0.00,571055,34.85,34.92,59,346351,5.30,5.31,
