,,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,
Date,Time,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-04-01,21:24:24.315,1066098829,0.29,307561,106609882,1066098829,100.00,-1,-1,1066107709,0.31,367343,118456412,1066107709,100.00,-1,-1,1066116407,0.26,250655,96919673,1066116407,100.00,-1,-1,1066134628,0.17,301421,177689104,1066134628,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,999505478,0.00,0.00,0.00,592393,36.16,36.23,52,346408,5.30,5.31,
2026-04-01,21:24:25.313,1064368717,0.51,256146,50684224,1064368717,100.00,-1,-1,1064364240,0.49,237289,48380192,1064364240,100.00,-1,-1,1064359875,0.42,177695,42574395,1064359875,100.00,-1,-1,1064346147,0.69,331760,48379370,1064346147,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997868790,0.00,0.00,0.00,583910,35.64,35.71,52,343750,5.26,5.27,
2026-04-01,21:24:26.313,1065086663,0.40,323824,81929743,1065086663,100.00,-1,-1,1065090246,0.44,333924,76077874,1065090246,100.00,-1,-1,1065094638,0.45,279632,62652625,1065094638,100.00,-1,-1,1065098087,0.53,334557,62652828,1065098087,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998556279,0.00,0.00,0.00,588107,35.90,35.97,52,344318,5.27,5.28,
2026-04-01,21:24:27.313,1063991761,0.42,370204,88665980,1063991761,100.00,-1,-1,1063992374,0.41,253802,62587786,1063992374,100.00,-1,-1,1063992267,0.30,248995,81845559,1063992267,100.00,-1,-1,1063993465,0.35,235398,66499591,1063993465,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997511694,0.00,0.00,0.00,584691,35.69,35.76,52,340888,5.22,5.23,
2026-04-01,21:24:28.314,1065052330,0.29,305053,106505233,1065052330,100.00,-1,-1,1065044582,0.30,291471,96822234,1065044582,100.00,-1,-1,1065036947,0.11,118102,106503694,1065036947,100.00,-1,-1,1065033531,0.37,395732,106503353,1065033531,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998385583,0.00,0.00,0.00,584787,35.69,35.76,52,341645,5.23,5.24,
2026-04-01,21:24:29.314,1064087178,0.38,225293,59115954,1064087178,100.00,-1,-1,1064095238,0.47,264061,56005012,1064095238,100.00,-1,-1,1064103205,0.40,251734,62594306,1064103205,100.00,-1,-1,1064106115,0.30,175059,59117006,1064106115,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997707330,0.00,0.00,0.00,585355,35.73,35.80,52,342155,5.23,5.25,
2026-04-01,21:24:30.317,1065093891,0.61,270459,44378912,1065093891,100.00,-1,-1,1065093615,0.75,308719,40965139,1065093615,100.00,-1,-1,1065093505,0.97,448324,46308413,1065093505,100.00,-1,-1,1065093588,0.60,278825,46308416,1065093588,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998515667,0.00,0.00,0.00,583083,35.59,35.66,52,344881,5.28,5.29,
2026-04-01,21:24:31.314,1063806475,0.55,210030,37993088,1063806475,100.00,-1,-1,1063806617,0.68,302872,44325275,1063806617,100.00,-1,-1,1063806490,0.64,241660,37993088,1063806490,100.00,-1,-1,1063806389,0.71,300604,42552255,1063806389,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997305421,0.00,0.00,0.00,580542,35.43,35.50,52,342377,5.24,5.25,
2026-04-01,21:24:32.315,1065122960,0.47,296755,62654291,1065122960,100.00,-1,-1,1065122998,0.41,242515,59173499,1065122998,100.00,-1,-1,1065122904,0.46,304923,66570181,1065122904,100.00,-1,-1,1065123028,0.55,364937,66570189,1065123028,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998553360,0.00,0.00,0.00,584967,35.70,35.78,52,344065,5.26,5.27,
2026-04-01,21:24:33.315,1064101410,0.54,288202,53205070,1064101410,100.00,-1,-1,1064101540,0.49,235750,48368251,1064101540,100.00,-1,-1,1064101427,0.36,226582,62594201,1064101427,100.00,-1,-1,1064101305,0.66,367494,56005331,1064101305,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997591206,0.00,0.00,0.00,581813,35.51,35.58,52,341434,5.22,5.23,
2026-04-01,21:24:34.316,1065136259,0.37,218928,59174236,1065136259,100.00,-1,-1,1065136238,0.22,169346,76081159,1065136238,100.00,-1,-1,1065136440,0.49,345923,71009096,1065136440,100.00,-1,-1,1065136512,0.36,202345,56059816,1065136512,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998569180,0.00,0.00,0.00,580425,35.43,35.50,52,341870,5.23,5.24,
2026-04-01,21:24:35.318,1064171497,0.34,227551,66510718,1064171497,100.00,-1,-1,1064171382,0.25,176641,70944758,1064171382,100.00,-1,-1,1064171321,0.21,156586,76012237,1064171321,100.00,-1,-1,1064171587,0.36,223387,62598328,1064171587,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997657863,0.00,0.00,0.00,587105,35.83,35.91,52,345563,5.29,5.30,
2026-04-01,21:24:36.317,1064848554,0.48,241270,50707074,1064848554,100.00,-1,-1,1064848533,0.34,174204,50707073,1064848533,100.00,-1,-1,1064848626,0.48,283067,59158257,1064848626,100.00,-1,-1,1064848512,0.31,173303,56044658,1064848512,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998307997,0.00,0.00,0.00,584013,35.65,35.72,52,344816,5.28,5.29,
2026-04-01,21:24:37.317,1064082241,0.69,332363,48367374,1064082241,100.00,-1,-1,1064082306,0.85,392972,46264448,1064082306,100.00,-1,-1,1064082296,0.46,176002,38002939,1064082296,100.00,-1,-1,1064082412,0.70,340129,48367382,1064082412,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997584048,0.00,0.00,0.00,582692,35.56,35.64,52,342881,5.25,5.26,
2026-04-01,21:24:38.318,1065098732,0.71,361917,50718987,1065098732,100.00,-1,-1,1065098761,1.00,425453,42603950,1065098761,100.00,-1,-1,1065098763,0.90,435743,48413580,1065098763,100.00,-1,-1,1065098451,0.96,462402,48413565,1065098451,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998513480,0.00,0.00,0.00,581153,35.47,35.54,52,340146,5.20,5.21,
2026-04-01,21:24:39.320,1063998019,0.76,278212,36689586,1063998019,100.00,-1,-1,1064001566,0.44,197040,44333398,1064001566,100.00,-1,-1,1064006665,0.46,231231,50666984,1064006665,100.00,-1,-1,1064010880,0.78,318893,40923495,1064010880,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997509946,0.00,0.00,0.00,580944,35.46,35.53,52,341705,5.23,5.24,
2026-04-01,21:24:40.318,1064075291,0.63,316972,50670251,1064075291,100.00,-1,-1,1064071727,0.40,182915,46263988,1064071727,100.00,-1,-1,1064066758,0.57,304518,53203337,1064066758,100.00,-1,-1,1064062564,0.63,306370,48366480,1064062564,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997558480,0.00,0.00,0.00,582054,35.53,35.63,51,341117,5.22,5.23,
2026-04-01,21:24:41.317,1064094170,0.67,321842,48367916,1064094170,100.00,-1,-1,1064094041,0.55,307283,56004949,1064094041,100.00,-1,-1,1064093927,0.68,314675,46264953,1064093927,100.00,-1,-1,1064094057,0.45,216526,48367911,1064094057,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997588775,0.00,0.00,0.00,582616,35.56,35.63,52,339891,5.20,5.21,
2026-04-01,21:24:42.317,1064184675,0.45,283679,62599098,1064184675,100.00,-1,-1,1064184646,0.46,288988,62599096,1064184646,100.00,-1,-1,1064184510,0.42,277347,66511531,1064184510,100.00,-1,-1,1064184662,0.27,260586,96744060,1064184662,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997669030,0.00,0.00,0.00,587438,35.85,35.93,52,342461,5.24,5.25,
2026-04-01,21:24:43.318,1065183721,0.58,326345,56062301,1065183721,100.00,-1,-1,1065183768,0.41,196802,48417444,1065183768,100.00,-1,-1,1065183739,0.77,340844,44382655,1065183739,100.00,-1,-1,1065183876,0.56,299007,53259193,1065183876,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998609794,0.00,0.00,0.00,591665,36.11,36.18,52,342349,5.24,5.25,
2026-04-01,21:24:44.318,1064174339,0.49,224502,46268449,1064174339,100.00,-1,-1,1064174264,0.43,216821,50674964,1064174264,100.00,-1,-1,1064174406,0.29,153189,53208720,1064174406,100.00,-1,-1,1064174145,0.61,280731,46268441,1064174145,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997668155,0.00,0.00,0.00,581963,35.52,35.59,51,340459,5.21,5.22,
