run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	9.46	213.02	3288.51	6835.96	107.77	15749.85	NA	1.46
2	10.37	230.33	3000.49	6476.48	114.92	11380.50	NA	1.42
3	10.10	228.01	3070.73	6476.48	108.62	12869.17	NA	1.60
4	10.43	236.26	2992.80	6360.91	108.67	13571.36	NA	1.71
5	10.37	232.85	3004.98	6247.39	102.07	10728.62	NA	1.57
6	10.51	238.93	2973.13	6135.91	111.33	10772.01	NA	1.77
7	10.92	245.71	2846.90	6135.91	95.30	10882.55	NA	1.67
8	10.68	239.14	2917.40	5918.87	94.49	10931.34	NA	1.58
9	10.98	246.48	2838.38	5918.87	83.51	9762.70	NA	1.66
10	10.73	241.94	2908.08	5918.87	100.30	10279.90	NA	1.68
