run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	10.66	240.70	2921.59	6135.91	100.26	9600.96	NA	1.69
2	10.94	244.42	2849.61	6135.91	100.36	10062.29	NA	1.57
3	10.75	246.27	2892.91	6026.41	91.88	12252.30	NA	1.92
4	10.70	236.78	2919.74	6026.41	100.24	10168.29	NA	1.41
5	10.81	245.54	2888.72	6135.91	99.86	11491.77	NA	1.81
6	11.04	245.26	2830.44	5813.24	99.35	11810.65	NA	1.51
7	11.00	250.11	2841.86	5918.87	100.32	10697.81	NA	1.86
8	11.13	254.52	2803.21	6026.41	100.34	9744.55	NA	1.96
9	10.96	243.47	2849.33	6135.91	99.05	9859.99	NA	1.49
10	10.19	225.32	3061.66	6360.91	100.24	11445.41	NA	1.33
