run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	380.24	8544.49	84.11	179.94	4.19	437.23	NA	57.84
2	381.73	8552.41	83.78	179.94	4.62	423.50	NA	56.49
3	380.86	8539.70	83.97	176.73	4.11	504.02	NA	56.78
4	381.95	8570.94	83.73	176.73	4.27	484.22	NA	57.36
5	375.51	8420.64	85.17	179.94	4.36	464.75	NA	56.00
6	382.50	8572.70	83.62	176.73	4.14	399.74	NA	56.76
7	379.73	8511.94	84.22	176.73	3.78	500.57	NA	56.47
8	380.51	8545.03	84.05	176.73	4.11	459.58	NA	57.49
9	379.12	8547.30	84.35	179.94	3.84	470.97	NA	59.33
10	378.82	8551.01	84.43	179.94	3.72	470.76	NA	59.99
