run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	409.02	9216.79	78.19	164.45	4.03	433.15	NA	63.80
2	406.33	9124.47	78.71	167.44	4.03	422.95	NA	61.40
3	409.08	9148.34	78.18	164.45	3.80	437.91	NA	59.48
4	408.49	9187.98	78.29	167.44	3.90	494.43	NA	62.69
5	409.90	9215.98	78.03	164.45	3.96	445.91	NA	62.66
6	411.35	9217.30	77.74	164.45	3.75	404.86	NA	60.95
7	410.73	9215.71	77.87	164.45	4.02	409.19	NA	61.55
8	411.21	9236.89	77.78	164.45	4.04	459.28	NA	62.29
9	409.22	9203.11	78.16	167.44	4.20	424.95	NA	62.73
10	410.36	9193.95	77.94	164.45	4.20	392.31	NA	60.69
