run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	439.81	9905.79	72.71	153.02	1.75	430.75	NA	68.27
2	436.42	9787.54	73.29	155.80	1.76	402.27	NA	65.15
3	442.28	9980.87	72.32	153.02	1.86	358.86	NA	69.88
4	448.06	10055.92	71.39	150.29	1.75	432.73	NA	67.35
5	438.01	9815.99	73.02	155.80	1.80	368.14	NA	64.99
6	440.02	9911.25	72.69	155.80	1.64	439.77	NA	68.35
7	444.15	9998.82	72.01	153.02	1.82	387.35	NA	68.67
8	444.17	9987.50	72.00	150.29	1.56	405.37	NA	67.89
9	436.81	9825.02	73.22	155.80	1.78	478.91	NA	66.89
10	444.16	9977.63	72.01	153.02	1.76	382.70	NA	67.30
