run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	15.40	349.81	2039.09	4358.09	64.05	7675.80	NA	2.57
2	16.33	368.13	1930.25	3841.98	57.71	7996.98	NA	2.55
3	17.43	396.13	1807.77	3982.86	46.59	8069.84	NA	2.92
4	17.68	398.13	1783.72	3773.42	50.40	9202.85	NA	2.74
5	17.81	397.68	1769.66	3706.08	54.01	6497.70	NA	2.54
6	18.31	411.32	1724.59	3639.94	50.38	7655.60	NA	2.78
7	18.09	407.72	1740.89	3773.42	50.49	5988.08	NA	2.82
8	18.22	409.54	1731.43	3639.94	50.42	6414.98	NA	2.77
9	18.14	398.28	1736.05	3706.08	55.36	7830.21	NA	2.18
10	18.40	415.79	1714.45	3773.42	50.41	6540.01	NA	2.95
