run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	18.21	411.93	1731.07	3574.99	50.36	5702.74	NA	2.93
2	18.18	407.48	1734.75	3706.08	47.04	6445.19	NA	2.70
3	18.62	421.06	1694.44	3511.19	54.37	7221.46	NA	3.00
4	17.82	406.56	1771.27	3911.79	53.85	7772.22	NA	3.09
5	18.06	407.35	1743.73	3639.94	50.61	7282.34	NA	2.85
6	18.33	410.34	1719.37	3448.53	58.87	6214.17	NA	2.68
7	18.30	406.69	1724.51	3639.94	50.63	6288.98	NA	2.51
8	18.36	401.64	1718.37	3386.99	54.50	6263.36	NA	2.12
9	18.55	415.21	1701.20	3706.08	58.76	7881.92	NA	2.72
10	18.44	415.69	1708.38	3639.94	50.44	8032.41	NA	2.88
