run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	17.79	402.17	1771.75	3841.98	53.60	7638.72	NA	2.85
2	17.93	404.62	1758.10	3706.08	50.59	6741.41	NA	2.83
3	18.32	403.66	1720.46	3386.99	53.18	11593.52	NA	2.29
4	18.22	408.89	1727.84	3773.42	50.06	7438.86	NA	2.75
5	17.61	394.49	1785.97	3841.98	50.39	6274.20	NA	2.60
6	18.09	406.67	1740.26	3773.42	50.28	5869.21	NA	2.76
7	18.20	412.65	1733.40	3773.42	53.94	6335.46	NA	3.00
8	18.82	420.21	1675.56	3448.53	57.41	7437.92	NA	2.70
9	19.02	425.61	1659.69	3511.19	54.74	7033.23	NA	2.78
10	17.87	409.57	1764.25	3706.08	58.94	5704.29	NA	3.22
