run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	709.05	15982.50	45.12	95.81	2.05	236.24	NA	110.89
2	710.28	15969.77	45.04	95.81	2.03	304.99	NA	108.51
3	710.55	15959.36	45.02	95.81	2.06	244.97	NA	107.60
4	710.01	15954.75	45.06	95.81	2.13	289.59	NA	107.93
5	709.11	15965.23	45.11	95.81	2.13	242.30	NA	109.73
6	712.18	16028.62	44.92	95.81	2.13	279.25	NA	109.72
7	706.84	15912.26	45.26	95.81	1.92	225.11	NA	109.22
8	711.45	15986.30	44.96	95.81	2.05	259.92	NA	108.16
9	713.14	16024.10	44.86	95.81	2.00	262.97	NA	108.39
10	711.33	15981.81	44.97	95.81	2.16	260.55	NA	107.93
