run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	579.09	13041.73	55.24	116.80	2.80	285.86	NA	89.81
2	579.37	13002.55	55.21	116.80	2.86	370.78	NA	87.03
3	578.45	12997.37	55.30	116.80	2.80	315.41	NA	87.90
4	584.55	13101.68	54.72	114.72	2.72	336.79	NA	86.71
5	581.72	13064.67	54.99	116.80	2.86	367.53	NA	87.96
6	579.02	13003.33	55.25	116.80	2.75	327.27	NA	87.54
7	585.51	13139.91	54.63	116.80	2.86	268.52	NA	88.01
8	579.91	13018.26	55.16	116.80	2.93	296.51	NA	87.38
9	579.21	13020.45	55.23	116.80	3.01	321.54	NA	88.26
10	582.83	13082.83	54.88	116.80	2.87	294.81	NA	87.69
