run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	578.91	12987.80	55.26	116.80	2.70	311.37	NA	86.73
2	578.18	12994.86	55.33	116.80	2.91	301.40	NA	88.03
3	578.93	12972.18	55.25	116.80	2.87	281.74	NA	85.76
4	577.64	12992.54	55.38	116.80	2.95	321.14	NA	88.52
5	577.90	12982.37	55.35	116.80	2.82	314.43	NA	87.65
6	578.18	12970.86	55.33	116.80	2.80	353.27	NA	86.65
7	580.14	12985.75	55.14	116.80	2.80	333.02	NA	85.05
8	576.29	12960.44	55.51	118.92	2.71	366.37	NA	88.24
9	573.60	12903.85	55.77	116.80	2.62	363.52	NA	88.14
10	575.84	12942.42	55.55	116.80	2.94	270.91	NA	87.74
