run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	446.09	9989.33	71.72	231.53	2.74	715.59	NA	65.69
2	450.30	10081.63	71.05	223.34	2.91	2483.92	NA	66.15
3	445.38	9980.69	71.83	227.40	2.92	870.80	NA	66.09
4	431.48	9701.90	74.15	231.53	2.65	2383.16	NA	65.97
5	435.84	9770.13	73.41	244.38	2.79	868.39	NA	64.79
6	455.52	10181.38	70.17	223.34	2.92	1718.15	NA	65.89
7	452.64	10130.23	70.68	231.53	2.82	672.50	NA	66.32
8	449.56	10093.13	71.17	227.40	2.76	1696.01	NA	67.79
9	447.00	10063.40	71.50	231.53	2.85	841.94	NA	69.10
10	457.58	10261.92	69.91	223.34	2.54	2111.45	NA	68.33
