run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	410.77	9216.36	77.88	231.53	2.97	1414.09	NA	61.57
2	407.82	9161.55	78.45	244.38	3.08	819.55	NA	61.80
3	415.21	9347.51	77.02	227.40	3.03	2090.25	NA	64.19
4	425.80	9547.55	75.14	223.34	3.05	728.70	NA	63.46
5	416.47	9366.67	76.82	227.40	3.00	935.75	NA	63.76
6	407.75	9178.56	78.46	235.74	3.12	2108.09	NA	63.01
7	419.95	9433.11	76.18	231.53	2.81	802.29	NA	63.56
8	414.45	9272.56	77.19	219.36	2.94	1693.01	NA	60.50
9	413.64	9271.04	77.34	235.74	2.94	740.53	NA	61.41
10	415.31	9289.02	77.03	227.40	2.80	1561.18	NA	60.43
