run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	640.69	14355.10	49.92	104.84	3.51	278.97	NA	94.84
2	632.10	14198.49	50.60	106.75	3.45	283.84	NA	95.73
3	639.98	14350.83	49.98	104.84	3.26	280.95	NA	95.42
4	643.60	14438.12	49.69	104.84	3.31	315.24	NA	96.39
5	633.58	14196.51	50.48	106.75	3.53	279.00	NA	93.75
6	638.11	14325.62	50.12	104.84	3.44	331.84	NA	96.14
7	633.77	14215.93	50.47	104.84	3.45	292.24	NA	94.72
8	631.62	14160.48	50.64	106.75	3.64	327.73	NA	94.09
9	628.17	14100.38	50.92	106.75	3.63	396.30	NA	94.57
10	629.59	14099.85	50.80	106.75	3.35	268.44	NA	92.82
