run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	615.27	13830.70	51.98	110.66	3.43	289.32	NA	93.88
2	612.49	13748.33	52.22	110.66	3.47	306.26	NA	92.22
3	599.54	13480.33	53.35	112.67	3.58	371.13	NA	91.69
4	612.07	13732.57	52.26	110.66	3.62	312.71	NA	91.75
5	619.55	13888.51	51.62	108.68	3.31	275.34	NA	92.14
6	611.32	13697.75	52.32	110.66	3.35	333.21	NA	90.56
7	608.94	13706.20	52.52	110.66	3.18	284.75	NA	93.99
8	614.89	13766.18	52.02	108.68	3.48	283.81	NA	90.31
9	612.62	13752.21	52.21	110.66	3.42	326.08	NA	92.29
10	602.77	13533.65	53.06	112.67	3.52	283.14	NA	90.96
