run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	642.76	14419.84	49.76	104.84	3.26	308.69	NA	96.21
2	636.60	14258.97	50.24	104.84	3.35	285.96	NA	93.87
3	635.76	14255.77	50.31	104.84	3.37	309.79	NA	94.74
4	641.84	14410.70	49.83	104.84	3.44	295.17	NA	96.84
5	635.88	14253.96	50.29	104.84	3.54	267.16	NA	94.56
6	634.46	14222.54	50.41	104.84	3.55	282.43	NA	94.32
7	637.35	14304.60	50.18	104.84	3.49	274.95	NA	95.85
8	636.62	14277.50	50.24	106.75	3.70	263.04	NA	95.05
9	635.55	14253.65	50.33	106.75	3.30	331.11	NA	94.86
10	636.60	14292.76	50.24	106.75	3.57	274.96	NA	96.01
