run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	618.06	13871.80	51.75	108.68	3.46	291.06	NA	92.96
2	612.35	13740.60	52.23	110.66	3.48	297.59	NA	91.89
3	603.67	13546.79	52.98	112.67	3.48	312.72	NA	90.62
4	612.49	13747.67	52.22	110.66	3.44	331.28	NA	92.15
5	614.97	13791.95	52.01	110.66	3.46	313.76	NA	91.83
6	611.19	13693.70	52.33	108.68	3.51	322.87	NA	90.43
7	610.57	13682.43	52.38	110.66	3.16	297.37	NA	90.54
8	616.29	13847.17	51.89	108.68	3.59	300.91	NA	93.68
9	618.41	13890.62	51.72	108.68	3.68	309.56	NA	93.70
10	617.73	13909.53	51.77	108.68	3.32	443.56	NA	95.65
