run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	638.55	14329.71	50.09	104.84	3.46	269.91	NA	95.82
2	644.63	14445.92	49.62	104.84	3.53	289.77	NA	95.60
3	641.72	14404.14	49.84	104.84	3.41	263.06	NA	96.58
4	643.73	14465.98	49.68	104.84	3.14	322.80	NA	97.88
5	638.35	14329.84	50.10	104.84	3.50	366.19	NA	96.12
6	652.36	14630.80	49.03	102.97	3.52	262.16	NA	97.45
7	641.07	14399.37	49.89	104.84	3.25	306.82	NA	97.07
8	644.67	14453.24	49.61	102.97	2.99	282.15	NA	95.92
9	642.28	14460.49	49.80	104.84	3.45	290.76	NA	99.39
10	633.70	14210.13	50.47	104.84	3.41	271.62	NA	94.59
