run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	776.30	17426.66	41.21	86.00	1.38	267.96	NA	116.89
2	770.81	17358.94	41.50	87.56	1.34	225.35	NA	119.49
3	792.86	17858.88	40.35	86.00	1.38	255.72	NA	123.24
4	776.08	17480.24	41.22	86.00	1.22	232.22	NA	120.44
5	781.68	17582.82	40.92	86.00	1.31	238.46	NA	119.95
6	777.98	17476.89	41.12	86.00	1.42	260.34	NA	118.02
7	779.26	17514.72	41.05	86.00	1.52	235.60	NA	118.72
8	768.54	17262.60	41.63	87.56	1.40	260.38	NA	116.40
9	774.62	17421.67	41.30	87.56	1.50	249.29	NA	118.68
10	765.71	17201.16	41.78	87.56	1.44	248.00	NA	116.13
