run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	754.02	16960.16	42.43	90.78	1.34	257.81	NA	115.63
2	754.15	16943.30	42.42	89.16	1.44	267.56	NA	114.42
3	755.35	17036.16	42.35	89.16	1.45	288.16	NA	118.66
4	760.17	17115.91	42.08	89.16	1.21	254.92	NA	117.61
5	766.08	17217.04	41.76	87.56	1.42	247.87	NA	116.64
6	758.18	17032.90	42.20	89.16	1.44	243.70	NA	115.06
7	754.16	16965.49	42.42	89.16	1.39	239.61	NA	115.90
8	754.00	16975.38	42.43	89.16	1.36	249.43	NA	116.61
9	755.87	17025.36	42.32	89.16	1.41	270.31	NA	117.43
10	754.11	16960.76	42.42	89.16	1.40	245.47	NA	115.56
