run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	733.15	16482.78	43.64	92.42	1.46	251.82	NA	111.92
2	729.31	16411.36	43.87	92.42	1.37	252.65	NA	112.25
3	733.60	16470.85	43.61	90.78	1.45	328.42	NA	110.68
4	730.31	16450.73	43.81	92.42	1.32	325.90	NA	113.45
5	741.88	16655.20	43.12	90.78	1.40	340.81	NA	111.81
6	736.47	16554.67	43.44	90.78	1.24	260.12	NA	112.33
7	737.45	16604.34	43.38	92.42	1.44	283.81	NA	114.21
8	733.90	16526.15	43.59	92.42	1.44	269.21	NA	113.67
9	733.33	16493.16	43.63	92.42	1.37	245.53	NA	112.43
10	736.47	16562.60	43.44	90.78	1.38	266.37	NA	112.82
