run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	755.16	16995.52	42.36	89.16	1.31	238.92	NA	116.39
2	758.55	17074.07	42.17	89.16	1.39	239.33	NA	117.05
3	756.00	16985.29	42.32	89.16	1.41	282.11	NA	114.73
4	762.85	17183.88	41.94	89.16	1.41	235.09	NA	118.59
5	755.31	16968.18	42.36	89.16	1.45	226.99	NA	114.59
6	751.10	16880.65	42.59	89.16	1.45	216.89	NA	114.36
7	751.76	16905.78	42.56	89.16	1.34	255.54	NA	115.11
8	752.80	16945.36	42.50	89.16	1.47	249.71	NA	116.31
9	751.98	16925.50	42.54	89.16	1.37	234.71	NA	116.02
10	769.09	17287.03	41.60	87.56	1.36	245.44	NA	117.26
